word,type,pos,stemmed,priorpolarity
appal,strongsubj,verb,y,negative
appall,strongsubj,adj,n,negative
appall,strongsubj,anypos,y,negative
appall,strongsubj,verb,y,negative
appalled,strongsubj,adj,n,negative
appalling,strongsubj,adj,n,negative
appallingly,strongsubj,anypos,n,negative
apparent,weaksubj,anypos,y,neutral
apparently,weaksubj,anypos,y,neutral
appeal,weaksubj,adj,n,positive
appeal,weaksubj,noun,n,positive
appeal,weaksubj,verb,y,positive
appealing,strongsubj,adj,n,positive
appear,weaksubj,anypos,y,neutral
appearance,weaksubj,adj,n,neutral
appearance,weaksubj,noun,n,neutral
appease,weaksubj,verb,y,positive
applaud,strongsubj,verb,y,positive
appreciable,weaksubj,adj,n,positive
appreciate,strongsubj,verb,y,positive
appreciation,strongsubj,adj,n,positive
appreciation,strongsubj,noun,n,positive
appreciative,strongsubj,anypos,n,positive
appreciatively,strongsubj,anypos,y,positive
appreciativeness,strongsubj,anypos,y,positive
apprehend,weaksubj,verb,y,neutral
apprehension,strongsubj,noun,n,negative
apprehensions,strongsubj,adj,n,negative
apprehensions,strongsubj,noun,n,negative
apprehensive,strongsubj,adj,n,negative
apprehensive,strongsubj,noun,n,negative
apprehensively,strongsubj,anypos,y,negative
appropriate,weaksubj,adj,n,positive
approval,weaksubj,noun,n,positive
approve,weaksubj,verb,y,positive
apt,weaksubj,adj,n,positive
aptly,weaksubj,adverb,n,positive
aptitude,weaksubj,noun,n,positive
arbitrary,strongsubj,adj,n,negative
arcane,strongsubj,adj,n,negative
archaic,strongsubj,adj,n,negative
ardent,strongsubj,adj,n,positive
ardently,strongsubj,anypos,n,positive
ardor,strongsubj,noun,n,positive
arduous,strongsubj,adj,n,negative
arduously,strongsubj,anypos,n,negative
aristocratic,weaksubj,adj,n,positive
argue,strongsubj,verb,y,negative
argument,weaksubj,adj,n,negative
argument,weaksubj,noun,n,negative
argumentative,strongsubj,anypos,y,negative
arguments,weaksubj,adj,n,negative
arguments,weaksubj,noun,n,negative
arousal,strongsubj,anypos,y,positive
arouse,strongsubj,verb,y,positive
arousing,strongsubj,anypos,y,positive
arresting,strongsubj,adj,n,positive
arrogance,strongsubj,noun,n,negative
arrogant,strongsubj,adj,n,negative
arrogant,strongsubj,anypos,y,negative
arrogantly,strongsubj,anypos,n,negative
arrogantly,strongsubj,anypos,y,negative
articulate,strongsubj,adj,n,positive
artificial,weaksubj,adj,n,negative
ascendant,strongsubj,adj,n,positive
ascendant,strongsubj,noun,n,positive
ascertainable,strongsubj,adj,n,positive
ascertainable,strongsubj,noun,n,positive
ashamed,strongsubj,adj,n,negative
asinine,strongsubj,adj,n,negative
asininely,strongsubj,adverb,n,negative
asinininity,strongsubj,noun,n,negative
askance,strongsubj,adverb,n,negative
asperse,strongsubj,verb,y,negative
aspersion,strongsubj,noun,n,negative
aspersions,strongsubj,noun,n,negative
aspiration,strongsubj,noun,n,positive
aspirations,strongsubj,adj,n,positive
aspirations,strongsubj,noun,n,positive
aspire,strongsubj,verb,y,positive
assail,weaksubj,verb,y,negative
assassinate,weaksubj,verb,y,negative
assassin,strongsubj,noun,n,negative
assault,weaksubj,adj,n,negative
assault,weaksubj,noun,n,negative
assent,strongsubj,verb,y,positive
assertions,strongsubj,adj,n,positive
assertions,strongsubj,noun,n,positive
assertive,weaksubj,adj,n,positive
assess,strongsubj,verb,y,neutral
assessment,weaksubj,adj,n,neutral
assessment,weaksubj,noun,n,neutral
assessments,weaksubj,adj,n,neutral
assessments,weaksubj,noun,n,neutral
asset,weaksubj,noun,n,positive
assiduous,strongsubj,adj,n,positive
assiduously,strongsubj,adverb,n,positive
assuage,weaksubj,verb,y,positive
assumption,weaksubj,adj,n,neutral
assumption,weaksubj,noun,n,neutral
assurance,weaksubj,adj,n,positive
assurance,weaksubj,noun,n,positive
assurances,weaksubj,adj,n,positive
assurances,weaksubj,noun,n,positive
assure,strongsubj,verb,y,positive
assuredly,strongsubj,anypos,n,positive
astonish,strongsubj,verb,y,positive
astonished,strongsubj,adj,n,positive
astonishing,strongsubj,adj,n,positive
astonishing,strongsubj,anypos,y,positive
astonishingly,strongsubj,anypos,n,positive
astonishment,strongsubj,noun,n,positive
astound,strongsubj,verb,y,positive
astounded,strongsubj,adj,n,positive
astounding,strongsubj,adj,n,positive
astounding,strongsubj,anypos,n,positive
astounding,strongsubj,anypos,y,positive
astoundingly,strongsubj,anypos,n,positive
astray,weaksubj,adj,n,negative
astronomic,strongsubj,adj,n,neutral
astronomical,strongsubj,adj,n,neutral
astronomically,strongsubj,anypos,n,neutral
astute,strongsubj,adj,n,positive
astutely,strongsubj,adverb,n,positive
asunder,strongsubj,anypos,n,negative
asylum,weaksubj,adj,n,positive
asylum,weaksubj,noun,n,positive
atrocious,strongsubj,adj,n,negative
atrocities,strongsubj,noun,n,negative
atrocity,strongsubj,noun,n,negative
atrophy,strongsubj,verb,y,negative
attack,weaksubj,noun,n,negative
attack,weaksubj,verb,y,negative
attain,weaksubj,verb,y,positive
attainable,weaksubj,adj,n,positive
attentive,strongsubj,adj,n,positive
attest,strongsubj,verb,y,positive
attitude,strongsubj,adj,n,neutral
attitude,strongsubj,noun,n,neutral
attitudes,weaksubj,adj,n,neutral
attitudes,weaksubj,noun,n,neutral
attraction,strongsubj,adj,n,positive
attraction,strongsubj,noun,n,positive
attractive,strongsubj,adj,n,positive
attractive,strongsubj,noun,n,positive
attractively,strongsubj,anypos,y,positive
attune,weaksubj,adj,n,positive
audacious,strongsubj,adj,n,negative
audaciously,strongsubj,anypos,n,negative
audaciousness,strongsubj,noun,n,negative
audacity,strongsubj,noun,n,negative
auspicious,strongsubj,adj,n,positive
austere,strongsubj,adj,n,negative
authentic,weaksubj,adj,n,positive
authoritarian,weaksubj,adj,n,negative
authoritative,weaksubj,adj,n,positive
autocrat,strongsubj,noun,n,negative
autocratic,strongsubj,adj,n,negative
award,weaksubj,adj,n,positive
award,weaksubj,verb,y,positive
awareness,strongsubj,noun,n,neutral
aware,strongsubj,adj,n,neutral
autocratic,strongsubj,adj,n,negative
autocratic,strongsubj,noun,n,negative
autonomous,weaksubj,adj,n,positive
avalanche,strongsubj,adj,n,negative
avalanche,strongsubj,noun,n,negative
avarice,strongsubj,noun,n,negative
avaricious,strongsubj,adj,n,negative
avariciously,strongsubj,adj,n,negative
avenge,strongsubj,verb,y,negative
aver,strongsubj,verb,y,positive
averse,strongsubj,anypos,n,negative
aversion,strongsubj,noun,n,negative
avid,strongsubj,adj,n,positive
avidly,strongsubj,anypos,n,positive
avoid,weaksubj,verb,y,negative
avoidance,weaksubj,noun,n,negative
awe,strongsubj,noun,n,positive
awe,strongsubj,verb,y,positive
awed,strongsubj,adj,n,positive
awesome,strongsubj,adj,n,positive
awesome,strongsubj,anypos,y,positive
awesomely,strongsubj,anypos,n,positive
awesomeness,strongsubj,noun,n,positive
awestruck,strongsubj,adj,n,positive
awful,strongsubj,adj,n,negative
awful,strongsubj,anypos,n,negative
awfully,strongsubj,anypos,n,negative
awfulness,strongsubj,anypos,y,negative
awfulness,strongsubj,noun,n,negative
awkward,strongsubj,adj,n,negative
awkwardness,strongsubj,noun,n,negative
ax,strongsubj,verb,y,negative
babble,strongsubj,verb,y,negative
baby,strongsubj,adj,n,neutral
baby,strongsubj,noun,n,neutral
back,weaksubj,verb,y,positive
backbite,strongsubj,verb,y,negative
backbiting,strongsubj,anypos,n,negative
backbone,weaksubj,noun,n,positive
backward,strongsubj,adj,n,negative
backwardness,strongsubj,noun,n,negative
bad,strongsubj,adj,n,negative
badly,strongsubj,adj,n,negative
baffle,strongsubj,verb,y,negative
baffled,strongsubj,adj,n,negative
bafflement,strongsubj,noun,n,negative
baffling,strongsubj,anypos,n,negative
bait,strongsubj,verb,y,negative
balanced,weaksubj,adj,n,positive
balk,strongsubj,verb,y,negative
banal,strongsubj,adj,n,negative
banal,strongsubj,anypos,y,negative
banalize,strongsubj,verb,y,negative
bane,strongsubj,noun,n,negative
banish,strongsubj,adj,n,negative
banish,strongsubj,verb,y,negative
banishment,strongsubj,noun,n,negative
bankrupt,weaksubj,adj,n,negative
bankrupt,weaksubj,verb,y,negative
bar,weaksubj,verb,y,negative
barbarian,strongsubj,adj,n,negative
barbarian,strongsubj,noun,n,negative
barbaric,strongsubj,adj,n,negative
barbarically,strongsubj,anypos,n,negative
barbarity,strongsubj,adj,n,negative
barbarity,strongsubj,noun,n,negative
barbarous,strongsubj,adj,n,negative
barbarous,strongsubj,anypos,y,negative
barbarously,strongsubj,anypos,n,negative
barely,weaksubj,anypos,y,negative
bargain,strongsubj,noun,n,positive
bargain,strongsubj,adj,n,positive
barren,strongsubj,adj,n,negative
baseless,strongsubj,adj,n,negative
bashful,strongsubj,adj,n,negative
basic,weaksubj,adj,n,positive
basically,weaksubj,anypos,n,neutral
bask,weaksubj,verb,y,positive
bastard,strongsubj,anypos,y,negative
bastard,strongsubj,noun,n,negative
batons,weaksubj,adj,n,neutral
batons,weaksubj,noun,n,neutral
battered,weaksubj,adj,n,negative
battering,weaksubj,adj,n,negative
battering,weaksubj,noun,n,negative
battle,weaksubj,verb,y,negative
battle-lines,strongsubj,adj,n,negative
battle-lines,strongsubj,noun,n,negative
battlefield,weaksubj,noun,n,negative
battleground,strongsubj,adj,n,negative
battleground,strongsubj,noun,n,negative
batty,strongsubj,adj,n,negative
beacon,weaksubj,noun,n,positive
bearish,weaksubj,adj,n,negative
beast,strongsubj,adj,n,negative
beast,strongsubj,noun,n,negative
beastly,strongsubj,adj,n,negative
beatify,strongsubj,verb,y,positive
beauteous,strongsubj,adj,n,positive
beautiful,strongsubj,adj,n,positive
beautiful,strongsubj,anypos,y,positive
beautifully,strongsubj,anypos,n,positive
beautify,strongsubj,verb,y,positive
beauty,strongsubj,noun,n,positive
bedlam,strongsubj,noun,n,negative
bedlamite,strongsubj,noun,n,negative
befit,strongsubj,verb,y,positive
befitting,strongsubj,adj,n,positive
befoul,strongsubj,verb,y,negative
befriend,strongsubj,verb,y,positive
beg,strongsubj,verb,y,negative
beggar,weaksubj,noun,n,negative
beggarly,strongsubj,adj,n,negative
begging,strongsubj,adj,n,negative
begging,strongsubj,noun,n,negative
beguile,strongsubj,verb,y,negative
belated,weaksubj,adj,n,negative
belabor,strongsubj,verb,y,negative
beleaguer,strongsubj,verb,y,negative
belie,strongsubj,verb,y,negative
belief,strongsubj,adj,n,neutral
belief,strongsubj,noun,n,neutral
beliefs,weaksubj,adj,n,neutral
beliefs,weaksubj,noun,n,neutral
believable,strongsubj,adj,n,positive
believe,strongsubj,verb,y,neutral
belittle,strongsubj,verb,y,negative
belittled,strongsubj,adj,n,negative
belittling,strongsubj,anypos,y,negative
bellicose,strongsubj,adj,n,negative
bellicose,strongsubj,noun,n,negative
belligerence,strongsubj,noun,n,negative
belligerent,strongsubj,adj,n,negative
belligerent,strongsubj,anypos,y,negative
belligerently,strongsubj,anypos,n,negative
beloved,strongsubj,adj,n,positive
bemoan,strongsubj,verb,y,negative
bemoaning,strongsubj,adj,n,negative
bemused,strongsubj,adj,n,negative
benefactor,weaksubj,noun,n,positive
beneficial,weaksubj,adj,n,positive
beneficent,strongsubj,adj,n,positive
beneficial,strongsubj,anypos,y,positive
beneficially,strongsubj,anypos,y,positive
beneficiary,strongsubj,adj,n,positive
beneficiary,strongsubj,noun,n,positive
benefit,weaksubj,adj,n,positive
benefit,weaksubj,noun,n,positive
benefits,weaksubj,adj,n,positive
benefits,weaksubj,noun,n,positive
benevolence,strongsubj,noun,n,positive
benevolent,strongsubj,adj,n,positive
benign,weaksubj,adj,n,positive
bent,weaksubj,adj,n,negative
berate,strongsubj,verb,y,negative
bereave,strongsubj,verb,y,negative
bereavement,strongsubj,noun,n,negative
bereft,strongsubj,anypos,n,negative
berserk,strongsubj,adj,n,negative
beseech,strongsubj,verb,y,negative
beset,weaksubj,adj,n,negative
besides,strongsubj,anypos,y,neutral
besiege,weaksubj,verb,y,negative
besmirch,strongsubj,verb,y,negative
best,strongsubj,anypos,y,positive
best-known,strongsubj,adj,n,positive
best-performing,strongsubj,adj,n,positive
best-selling,weaksubj,adj,n,positive
bestial,strongsubj,adj,n,negative
betray,strongsubj,verb,y,negative
betrayal,strongsubj,noun,n,negative
betrayals,strongsubj,noun,n,negative
betrayer,strongsubj,noun,n,negative
better,strongsubj,adj,n,positive
better,weaksubj,anypos,y,positive
better-known,strongsubj,adj,n,positive
better-than-expected,strongsubj,adj,n,positive
bewail,strongsubj,verb,y,negative
beware,weaksubj,verb,y,negative
bewilder,strongsubj,verb,y,negative
bewildered,strongsubj,adj,n,negative
bewildering,strongsubj,adj,n,negative
