docName,dirName,idx,startByte,endByte,sentLen,annotsCount,text
00.48.42-17806,20010630,24,3144,3278,134.0,2.0,"Labus recalled that his country was recovering from ""a decade of dramatic economic decline, including trade isolation and sanctions..."
00.48.42-17806,20010630,25,3474,3721,247.0,3.0,"Infrastructure, including power, water, rail and roads, he said, were ""suffering from many years of decay, mismanagement and the consequences of the NATO 1999 bombing campaign"" that ended Belgrade's repression of Kosovo's ethnic Albanian majority."
01.24.22-5235,20010705,0,720,915,195.0,0.0,"The owner and a neighbor who had helped him put down the animal were sent urgently to the Hospital for Infectious Diseases in Miercurea Ciuc, where they received preventive anti-rabies treatment."
01.24.22-5235,20010705,1,996,1186,190.0,0.0,"The Harghita County Sanitary and Veterinary Directorate has started an anti-rabies campaign, in which they are to vaccinate more than 70,000 cattle, horses, sheep, and pigs in 22 localities."
01.24.22-5235,20010705,2,258,400,142.0,3.0,"The owner though that the animal was suffering from some intoxication, which was confirmed also by the veterinarian called to examine the cow."
01.24.22-5235,20010705,3,105,152,47.0,0.0,"As a consequence, the cow was infected as well."
01.24.22-5235,20010705,4,622,719,97.0,0.0,"The latter took the cow's head to a lab, where they found that it had been suffering from rabies."
01.24.22-5235,20010705,5,401,545,144.0,0.0,"Very soon, however, the symptoms indicated that it was suffering from rabies: it was banging its head against the crib and it was very restless."
01.24.22-5235,20010705,6,217,257,40.0,0.0,The symptoms appeared within a few days.
01.24.22-5235,20010705,7,546,621,75.0,2.0,"The owner put down the animal, although the vet had forbidden him to do so."
01.24.22-5235,20010705,8,2,104,102.0,0.0,A cow grazing near the village of Meresti [Harghita County] was bitten by a fox suffering from rabies.
01.24.22-5235,20010705,9,916,993,77.0,0.0,"The carcass of the cow was burned and buried, and the stable was disinfected."
01.24.22-5235,20010705,10,153,216,63.0,0.0,"This is the first such case here, and the third one since 1999."
02.01.27-21386,20010706,0,128,338,210.0,0.0,"Moscow, 5 July: Due to poor technical equipment, Tajikistan seizes only 10 per cent of the drugs transited through its territory from Afghanistan, Director of the Tajik anti-drug agency Rustam Nazarov has said."
02.01.27-21386,20010706,1,2,57,55.0,0.0,Tajikistan: drug-busting hampered by obsolete equipment
02.01.27-21386,20010706,2,516,658,142.0,0.0,"Out of 2,200 kg of drugs seized this year in Tajikistan, only 837 kg were seized at the border, and the rest inside the country, Nazarov said."
02.01.27-21386,20010706,3,659,727,68.0,5.0,"""Our agency seriously needs equipment for detecting drugs,"" he said."
02.01.27-21386,20010706,4,728,899,171.0,0.0,"""We do not have special devices for inspecting large automobiles and cargoes,"" Nazarov said, adding that his service does not have enough communications equipment, either."
02.01.27-21386,20010706,5,339,515,176.0,6.0,"""Since our technical equipment is far from perfect, we perhaps seize even less than 10 per cent,"" Nazarov said in an interview with the Thursday edition of Nezavisimaya Gazeta."
05.19.38-789,20010707,0,810,969,159.0,8.0,"In March, Uganda declared Rwanda a hostile nation because of tensions arising from Kigali's alleged support for a rival to Museveni in a presidential election."
05.19.38-789,20010707,1,614,803,189.0,0.0,"Museveni and Kagame have met three times since the fighting broke out in the DRC city of Kisangani, the main town in the northeast of the country, but without patching up their differences."
05.19.38-789,20010707,2,2,204,202.0,4.0,"GATUNA, Rwanda, July 6 (AFP) - President Paul Kagame of Rwanda and his Ugandan counterpart Yoweri Museveni began talks here Friday in a bid to mend soured relations between their neighbouring countries."
05.19.38-789,20010707,3,380,607,227.0,4.0,"The formerly close allies fell out in 1999, the year after each sent troops to back rebel movements in the neighbouring Democratic Republic of Congo, when mounting rivalry lead to violent clashes between their own armies there."
05.19.38-789,20010707,4,976,1044,68.0,8.0,The two countries have each accused the other of backing dissidents.
05.19.38-789,20010707,5,211,373,162.0,0.0,"The two heads of state met under an canvas awning set up for the occasion a few hundred metres (yards) from the Gatuna border post, an AFP correspondent reported."
00.42.05-29788,20010713,0,952,1120,168.0,5.0,"Barring any reversal to the trend, the weekly quoted U.S. magazine Business Weekly as saying that Beijing might bring the island to its knees without firing one bullet."
00.42.05-29788,20010713,1,81,291,210.0,6.0,"Paris, July 11 (CNA) -- Taiwan's economy will become totally dependent on mainland China within the next few years, causing the island to lose control of its own political fate, a French weekly warned Thursday."
00.42.05-29788,20010713,2,298,622,324.0,8.0,"The Nouvel Observateur said that Beijing is unlikely to annex Taiwan by force, despite its deployment of missiles along its coastal provinces opposite Taiwan, but is instead resorting to smarter tactics, bringing the Taiwan authorities to heel through Taiwan businessmen who are eager to explore the mainland Chinese market."
00.42.05-29788,20010713,3,1825,2145,320.0,8.0,"Although there is only scant possibility of a military conflict in the Taiwan Strait, the Nouvel Observateur said, Beijing's military buildup in its southern coastal provinces still makes the region ""the most heavily armed place in the world next only to the Middle East,"" and a dangerous flashpoint in the 21st century."
00.42.05-29788,20010713,4,629,945,316.0,11.0,"The weekly said that mainland China has attracted more than US$50 billion in investment from Taiwan thus far, while the Taipei authorities bowed to pressure from its own businessmen to lift restrictions on investment in mainland China in May, a move expected to speed up the flow of Taiwan capital to its arch rival."
00.42.05-29788,20010713,5,1610,1818,208.0,8.0,"But Beijing's leaders are not likely to blink on the issue either because an independent state in Taiwan would boost the schisms in Tibet and Xinjiang and threaten the regime in Beijing, the magazine claimed."
00.42.05-29788,20010713,6,1383,1603,220.0,8.0,"The publication quoted Wu Guoguang, a professor at Hong Kong University, as saying that any concessions by Washington on the Taiwan issue could trigger a defection of its Asian allies, including Japan, to Beijing's fold."
00.42.05-29788,20010713,7,1127,1376,249.0,13.0,"Another factor which might deter Beijing's military adventurism in the Taiwan Strait is Washington's ""readiness to fight Beijing for Taiwan,"" which will bear witness to Washington's determination to remain a power in Asia, according to the magazine."
00.31.31-4544,20010715,0,2,276,274.0,0.0,"KINSHASA, July 14 (AFP) - Some 60 representatives of civil society, parties, rebel groups and government in the Democratic Republic of Congo (DRC) are to take part in preparatory talks on reviving political dialogue in the vast country next month, an official said Saturday."
00.31.31-4544,20010715,1,1445,1593,148.0,0.0,Masire was brought back into the DRC peace process in February this year as facilitator for the inter-Congolese dialogue by President Joseph Kabila.
00.31.31-4544,20010715,2,1201,1438,237.0,0.0,"The national dialogue is a feature of peace accords signed in 1999 by all warring parties in the former Zaire -- two rebel groups, their backers Rwanda and Uganda, and the Kinshasa government and its allies, Angola, Zimbabwe and Namibia."
00.31.31-4544,20010715,3,2259,2354,95.0,2.0,Lebatt said the facilitation team expected to draw up a final list of participants by August 6.
00.31.31-4544,20010715,4,1600,1743,143.0,5.0,"The young president's father Laurent, assassinated in January, had sidelined Masire after accusing him of being biased in favour of the rebels."
00.31.31-4544,20010715,5,495,784,289.0,0.0,"The round of consultations ahead of the start of formal negotiations between the various parties -- dubbed the ""inter-Congolese dialogue"" -- will begin August 20 in the Botswana capital Gaborone, the facilitator of the talks, former Botswana president Ketumile Masire, announced this week."
00.31.31-4544,20010715,6,1006,1194,188.0,11.0,"Masire said this week he was determined to ""ensure that people from all corners of the country are allowed to express their views"", adding that he wanted to avoid a ""superficial"" exercise."
00.31.31-4544,20010715,7,1750,1957,207.0,3.0,"Lebatt told the media conference that deep divergences remained concerning the designation of delegates to represent DRC political parties, and those to represent the parties who signed the Lusaka agreement."
00.31.31-4544,20010715,8,1964,2128,164.0,3.0,"""The political players must overcome their divisions by finding a formula for consensus,"" said Lebatt, who is former foreign and cooperation minister of Mauritania."
00.31.31-4544,20010715,9,283,488,205.0,0.0,"A representative of the facilitator of the talks, Hacen Ould Lebatt, told a media conference here that 38 civil society delegates, representing seven of the DRC's 11 provinces, had already been designated."
00.31.31-4544,20010715,10,2135,2205,70.0,3.0,"The Lusaka accord merely speaks about ""political opposition"", he said."
00.31.31-4544,20010715,11,2361,2516,155.0,2.0,The conflict in the former Zaire broke out when rebels backed by Laurent Kabila's erstwhile allies Rwanda and Uganda launched an insurgency in August 1998.
00.31.31-4544,20010715,12,2206,2252,46.0,5.0,"""One must ask 'opposition to whom and what?'."""
00.31.31-4544,20010715,13,791,999,208.0,2.0,"Masire's team, which has criss-crossed the former Zaire to prepare for the talks, is currently pursuing its mission in the provinces of Bandundu, Bas-Congo, Equateur, and in the capital Kinshasa, Lebatt said."
01.37.46-4752,20010717,0,2,78,76.0,2.0,"Russia favours creation of ""international instruments"" to regulate emissions"
01.37.46-4752,20010717,1,659,912,253.0,5.0,"Russia is ""interested in creating international instruments for regulating emissions, which will guarantee the stable economic development of all signatories to international agreements on the climate sphere without any exceptions"", the statement reads."
01.37.46-4752,20010717,2,149,338,189.0,2.0,"Moscow, 16 July: The Russian Foreign Ministry has called for ""taking into account Russia's specific interests"" in working out international documents concerning the regulation of emissions."
01.37.46-4752,20010717,3,913,1156,243.0,6.0,"""The US decision to withdraw from introducing state measures to regulate the emission of greenhouse gases negatively affects the world community's efforts to ensure the global and efficient character of the Kyoto protocol,"" the document reads."
01.37.46-4752,20010717,4,339,658,319.0,3.0,"A Foreign Ministry statement in connection with the opening of a conference of the signatories to the UN framework convention on climate change in Bonn reads that taking into account Russia's interests ""is of vital importance from the viewpoint of prospects for the ratification of the Kyoto protocol inside the state""."
00.42.54-29681,20010718,0,340,561,221.0,0.0,"The Germany-based auto giant recalled 150,000 Mercedes-Benz luxury cars throughout Europe and the Middle East on Friday to fix a defect that could cause the driver's side air bag to deploy prematurely, the newspaper said."
00.42.54-29681,20010718,1,568,757,189.0,4.0,"The recall conducted in China in 1999 was purely a precautionary measure and no reports of any incidents in China had been received at that time, China Daily quoted the statement as saying."
00.42.54-29681,20010718,2,2,159,157.0,0.0,"Beijing, July 17 (XINHUA)-- DaimlerChrysler AG said Monday that the international recall of Mercedes-Benz luxury cars did not affect vehicle owners in China."
00.42.54-29681,20010718,3,873,1024,151.0,2.0,"The China Consumers Association said Monday that it had received five complaints of problems related with Benz cars in China, according to China Daily."
00.42.54-29681,20010718,4,166,333,167.0,0.0,"A written statement made by the company's China branch revealed that no glitches had been found in China since its last recall in 1999, Tuesday's China Daily reported."
00.42.54-29681,20010718,5,764,872,108.0,6.0,The exclusion of China from the recall has led to claims that the firm was biased against Chinese customers.
00.42.54-29681,20010718,6,1031,1229,198.0,0.0,"The problem was first discovered in March 1996 in Indonesia and led to a November 1999 recall of cars in the United States and Asia, where hot, humid conditions were thought to trigger the air bags."
23.47.18-27024,20010718,0,1055,1228,173.0,3.0,"According to military experts, it is possible that clashes will resume between the Taleban and UIFSA forces in various regions of Afghanistan in the next few days and weeks."
23.47.18-27024,20010718,1,179,424,245.0,0.0,"According to reports from Afghan sources, high-ranking Taleban commanders, including [Interior Minister] Mola Abdorrazaq Akhond and Mola Abdol Qahir [phonetic], visited the front line in [northeastern] Takhar Province yesterday morning, Tuesday."
23.47.18-27024,20010718,2,613,796,183.0,0.0,"At the same time, a number of troops were sent to the Dara-e Suf area [Samangan Province] led by commander Yari and commander Samar from the Dehdadi military fort near Mazar-e Sharif."
23.47.18-27024,20010718,3,964,1048,84.0,0.0,The Taleban have also launched an offensive in the Andarab area in Baghlan Province.
23.47.18-27024,20010718,4,803,963,160.0,0.0,"According to another report, [Taleban senior commander] Abdorrazaq Nafis has instructed the Mazar military fort to supply battle zones with the necessary means."
23.47.18-27024,20010718,5,2,172,170.0,0.0,Taleban commanders have prepared themselves for new offensives on positions of the United Islamic Front [for the Salvation] of Afghanistan in some regions of Afghanistan.
23.47.18-27024,20010718,6,431,612,181.0,0.0,"Over the last few days, the Taleban dispatched a number of their troops from [the capital of northern Balkh Province] Mazar-e Sharif under the command of Qayum and Hashim to Takhar."
00.39.51-8366,20010722,0,524,692,168.0,0.0,"Drug dealers have lost some 3,600 kilos of narcotics including more than a tonne of heroin on the Tajik-Afghan border since the beginning of the year, the colonel said."
00.39.51-8366,20010722,1,133,319,186.0,0.0,"Dushanbe, 21 July: A patrol of Russia's border guards discovered two sacks filled with narcotics on the Moskva border detachment's section of the Tajik-Afghan border on Friday [20 July]."
00.39.51-8366,20010722,2,2,61,59.0,0.0,Russian guards seize 87 kg of heroin on Tajik-Afghan border
00.39.51-8366,20010722,3,320,523,203.0,0.0,"An expert examination showed that the sacks contained 86.9 kilos of pure heroin, head of the press service of Russia's Border Troops in Tajikistan Colonel Aleksandr Kondratyev told ITAR-TASS on Saturday."
00.39.51-8366,20010722,4,693,810,117.0,0.0,"During the year 2000 border guards confiscated 2,950 kilos of drugs, including 670 kilos of heroin, Kondratyev noted."
22.41.16-14236,20010813,0,272,394,122.0,0.0,"He also called the current restrictions for issuing visas for Iranian and other foreign nationals, temporary arrangements."
22.41.16-14236,20010813,1,2,265,263.0,2.0,"TEHRAN -- In a meeting with the head of Foreign Ministry's Representative Office in Mashhad, Khorasan Province, Turkmen deputy foreign minister on Sunday, said that new facilities have been provided for issuing visas for Iranians who intend to visit Turkmenistan."
23.12.58-1993,20010813,0,131,481,350.0,0.0,"Nancy, 13 August (AFP): The second ever case of Bovine Spongiform Encephalopathy (BSE, mad cow disease) in Meurthe-et-Moselle [department in northeast France] was diagnosed on Monday [13 August], in Longuyon, in the north of the department, in a cow born in 1994, the FDSEA [Departmental Federation of Farmers' Trade Unions] announced in a statement."
23.12.58-1993,20010813,1,2,77,75.0,0.0,France: second ever mad cow disease case in northeast department discovered
23.12.58-1993,20010813,2,482,639,157.0,0.0,"The Charolais breed cow, was part of the GAEC (Agricultural Cooperative Grouping) Bruyeres herd in Longuyon, showed signs of the illness and was slaughtered."
23.12.58-1993,20010813,3,864,985,121.0,0.0,"The first BSE case [in Meurthe-et-Moselle] was discovered on 17 July in a Charolais bull, in the south of the department."
23.12.58-1993,20010813,4,771,863,92.0,0.0,"The herd is made up of 220 cattle which will have to be slaughtered, according to the rules."
23.12.58-1993,20010813,5,640,770,130.0,2.0,"The test, which was carried out in conformity with the rules for such cases, raised suspicions of BSE, which were later confirmed."
23.25.24-13030,20010817,0,834,1140,306.0,8.0,"The minister went on to say that although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities."
23.25.24-13030,20010817,1,380,590,210.0,3.0,"Chang said after visiting Chinese communities in the United States, New Zealand and Southeast Asia that education and cultural work needs to be further strengthened in the Chinese communities in Southeast Asia."
23.25.24-13030,20010817,2,597,827,230.0,0.0,"With the limited funding to which her commission is entitled, Chang said, OCAC will focus its educational and cultural work on Chinese communities with the fewest resources, such as those in Myanmar [Burma], Vietnam and Indonesia."
23.25.24-13030,20010817,3,218,373,155.0,0.0,Overseas Chinese Affairs Commission (OCAC) head Chang Fu-mei made the remarks after concluding a symposium on work in the Asia-Pacific Chinese communities.
23.25.24-13030,20010817,4,1147,1338,191.0,2.0,"A total of 38 overseas Chinese community leaders from nine Asian and Pacific countries attended the symposium, at which the participants also exchanged views on cross-Taiwan Strait relations."
23.25.24-13030,20010817,5,2,211,209.0,2.0,"Taipei, Aug. 17 (CNA) -- The Republic of China [ROC] government will push for Chinese language education among the vast number of Chinese communities in Southeast Asia, a high-ranking ROC official said Friday."
01.09.50-14694,20010818,0,2675,2881,206.0,5.0,"Charges against the MDC leader arose after he allegedly told a crowd at the party's first anniversary last year that ""... Zvatichada, what we would like to tell Mugabe today is that... please go peacefully."
01.09.50-14694,20010818,1,2394,2575,181.0,4.0,"If the Supreme Court rules in favour of Mr Tsvangirai, who if convicted on the charges might face life imprisonment, the Attorney General's Office will have to draw up a new charge."
01.09.50-14694,20010818,2,456,547,91.0,0.0,"""The first choice is to commit ourselves to the constitutional path with all its obstacles."
01.09.50-14694,20010818,3,2,51,49.0,2.0,MDC leader Tsvangirai at it again in South Africa
01.09.50-14694,20010818,4,1488,1547,59.0,4.0,"""If sanctions are imposed on Zimbabwe, it will not survive."
01.09.50-14694,20010818,5,2065,2223,158.0,2.0,His trial was set to start at the High Court in May but the case was referred to the High Court after he challenged the legality of LOMA in the Supreme Court.
01.09.50-14694,20010818,6,1318,1481,163.0,2.0,"But he opposed any steps that could plunge the country deeper into a recession that has already pushed unemployment, inflation and interest rates above 60 percent."
01.09.50-14694,20010818,7,3267,3372,105.0,4.0,"""But anyone who wants to speak the language of violence where Zimbabwe is concerned is playing with fire."
01.09.50-14694,20010818,8,240,449,209.0,3.0,"Speaking in an address to the Cape Town Press club, Mr Tsvangirai, who is on a visit to South Africa, was quoted by Reuters as saying he was having to ""rein in militants keen to fight President Mugabe's rule""."
01.09.50-14694,20010818,9,1639,1781,142.0,4.0,"""Until such time as Mugabe actually subverts the electoral process - when one goes to that extreme, international sanctions will be an option."
01.09.50-14694,20010818,10,2955,3016,61.0,0.0,That according to the State constituted a breach of the LOMA.
01.09.50-14694,20010818,11,3456,3607,151.0,3.0,"""The quickest defeat of Tsvangirai and his MDC lot would come if they chose the path of violence,"" an analyst who spoke on condition of anonymity said."
01.09.50-14694,20010818,12,889,1075,186.0,8.0,Mr Tsvangirai endorsed a United States proposal for targeted sanctions against President Mugabe and members of his Government but said full economic sanctions would be a ruinous mistake.
01.09.50-14694,20010818,13,3373,3449,76.0,3.0,"Zimbabwe's performance in Mozambique, Somalia and the DRC speaks for itself."
01.09.50-14694,20010818,14,548,661,113.0,0.0,"We are saying we will not resort to any violent overthrow or to any violent means,"" he was quoted as having said."
01.09.50-14694,20010818,15,1082,1210,128.0,2.0,"The US Congress is set to consider the Zimbabwe Democracy and Economic Recovery Bill, which seeks to impose sanctions on Harare."
01.09.50-14694,20010818,16,80,232,152.0,4.0,"OPPOSITION youths are agitating to get guns to ""shoot"" President Mugabe ""out of office,"" MDC leader, Mr Morgan Tsvangirai said in South Africa yesterday"
01.09.50-14694,20010818,17,1217,1311,94.0,2.0,Mr Tsvangirai called for international action to ensure a free and fair presidential election.
01.09.50-14694,20010818,18,1788,1884,96.0,4.0,"""However, we do support certain limitations on the villains of the crisis in Zimbabwe,"" he said."
01.09.50-14694,20010818,19,3162,3260,98.0,4.0,"But analysts expressed concern that the MDC leader is ""flirting with mercenaries in South Africa""."
01.09.50-14694,20010818,20,3023,3155,132.0,5.0,The MDC leader also alleged that the Government was trying to provoke protests that could be used as an excuse to suspend democracy.
01.09.50-14694,20010818,21,1891,2058,167.0,5.0,Mr Tsvangirai might face charges of contravening the Law and Order Maintenance Act for allegedly threatening to violently remove President Mugabe from power last year.
01.09.50-14694,20010818,22,2882,2948,66.0,5.0,"If you don't want to go peacefully, we will remove you violently."""
01.09.50-14694,20010818,23,2582,2668,86.0,0.0,"But if the appeal fails, the matter will be referred back to the High Court for trial."
01.09.50-14694,20010818,24,1548,1632,84.0,4.0,"That is why, as MDC, we are reluctant at this stage to endorse the sanctions option."
01.09.50-14694,20010818,25,668,882,214.0,8.0,"""...You have people who are 20 years and 30 years (and) below who are asking if we can get guns and go and shoot the man out of office, but I say: Please, that is the most dangerous thing you can ever do,"" he said."
01.09.50-14694,20010818,26,2230,2387,157.0,0.0,The superior court has since heard State and defence arguments on the legality of the charges being laid against the opposition leader and reserved judgment.
23.26.43-14352,20010819,0,62,180,118.0,0.0,"SA National Defence Force (SANDF) chief General Siphiwe Nyanda has left for China, SABC radio news reported on Sunday."
23.26.43-14352,20010819,1,187,277,90.0,0.0,SANDF spokesman General Chris Pepane said this was Nyanda's first goodwill visit to China.
23.26.43-14352,20010819,2,284,365,81.0,2.0,The visit is aimed at strengthening military relations between the two countries.
23.26.43-14352,20010819,3,372,491,119.0,0.0,Nyanda is scheduled to return after a week and he will then immediately travel to the Democratic Republic of the Congo.
00.59.03-19180,20010828,0,487,598,111.0,2.0,"Earlier Australia's immigration minister, Philip Ruddock, said it was believed the boat was carrying 80 people."
00.59.03-19180,20010828,1,2,138,136.0,2.0,Indonesian authorities have been alerted to the presence of another boat believed to be carrying illegal immigrants bound for Australia.
