docName,dirName,idx,type,startByte,endByte,sentRow,wordLen,text,intensity,polarity,expression-intensity,attitude-type,attitude-uncertain
00.48.42-17806,20010630,95,GATE_expressive-subjectivity,342,384,32.0,42.0,it had to happen and the sooner the better,medium,uncertain-positive,,,
00.48.42-17806,20010630,89,GATE_direct-subjective,1412,1452,29.0,40.0,had until the last minute been uncertain,low,neutral,low,,
00.48.42-17806,20010630,75,GATE_direct-subjective,4520,4537,47.0,17.0,desperately needs,high,negative,high,,
00.48.42-17806,20010630,65,GATE_expressive-subjectivity,3459,3465,36.0,6.0,to win,low,positive,,,
00.48.42-17806,20010630,63,GATE_expressive-subjectivity,3560,3579,53.0,19.0,many years of decay,low,negative,,,
00.48.42-17806,20010630,61,GATE_expressive-subjectivity,3884,3901,46.0,17.0,no longer a dream,medium,neutral,,,
00.48.42-17806,20010630,59,GATE_expressive-subjectivity,3941,3953,38.0,12.0,no quick fix,low,negative,,,
00.48.42-17806,20010630,57,GATE_expressive-subjectivity,4071,4103,34.0,32.0,struggles to break with the past,medium,neutral,,,
00.48.42-17806,20010630,51,GATE_direct-subjective,3150,3158,52.0,8.0,recalled,neutral,,neutral,,
00.48.42-17806,20010630,43,GATE_direct-subjective,262,270,32.0,8.0,is happy,medium,negative,medium,,
00.48.42-17806,20010630,41,GATE_direct-subjective,979,989,48.0,10.0,would need,low,neutral,low,,
00.48.42-17806,20010630,39,GATE_expressive-subjectivity,2490,2498,50.0,8.0,symbolic,low,neutral,,,
00.48.42-17806,20010630,37,GATE_expressive-subjectivity,3419,3435,36.0,16.0,long and painful,medium,negative,,,
00.48.42-17806,20010630,35,GATE_expressive-subjectivity,3909,3922,46.0,13.0,now a reality,low,positive,,,
00.48.42-17806,20010630,19,GATE_expressive-subjectivity,2518,2528,37.0,10.0,fully back,low,positive,,,
00.48.42-17806,20010630,11,GATE_expressive-subjectivity,3028,3052,45.0,24.0,to be brought to justice,low,positive,,,
00.48.42-17806,20010630,9,GATE_expressive-subjectivity,4248,4285,39.0,37.0,something which we dared not hope for,medium,neutral,,,
00.48.42-17806,20010630,3,GATE_expressive-subjectivity,255,270,32.0,15.0,Nobody is happy,low,negative,,,
00.48.42-17806,20010630,122,GATE_expressive-subjectivity,3310,3336,36.0,26.0,a very complicated process,low,negative,,,
00.48.42-17806,20010630,120,GATE_expressive-subjectivity,3753,3770,46.0,17.0,firm and decisive,low,positive,,,
00.48.42-17806,20010630,118,GATE_direct-subjective,4267,4285,39.0,18.0,dared not hope for,medium,neutral,medium,,
00.48.42-17806,20010630,104,GATE_direct-subjective,3533,3537,53.0,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,102,GATE_direct-subjective,433,437,32.0,4.0,told,neutral,,neutral,,
00.48.42-17806,20010630,100,GATE_direct-subjective,4018,4021,34.0,3.0,But,medium,,,,
00.48.42-17806,20010630,90,GATE_expressive-subjectivity,2660,2687,31.0,27.0,to make some bold decisions,low,uncertain-positive,,,
00.48.42-17806,20010630,84,GATE_direct-subjective,2652,2659,31.0,7.0,decided,low,neutral,low,,
00.48.42-17806,20010630,82,GATE_expressive-subjectivity,2958,2981,44.0,23.0,had played a major role,low,neutral,,,
00.48.42-17806,20010630,80,GATE_direct-subjective,4436,4440,47.0,4.0,told,neutral,,neutral,,
00.48.42-17806,20010630,78,GATE_direct-subjective,559,569,40.0,10.0,was hoping,medium,positive,medium,,
00.48.42-17806,20010630,70,GATE_expressive-subjectivity,3197,3234,52.0,37.0,a decade of dramatic economic decline,medium,negative,,,
00.48.42-17806,20010630,68,GATE_expressive-subjectivity,3349,3366,36.0,17.0,almost completely,low,neutral,,,
00.48.42-17806,20010630,66,GATE_direct-subjective,2805,2809,44.0,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,62,GATE_direct-subjective,2458,2462,50.0,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,48,GATE_direct-subjective,2877,2882,44.0,5.0,added,neutral,,neutral,,
00.48.42-17806,20010630,167,GATE_expressive-subjectivity,2612,2640,37.0,28.0,that's very important for us,medium,neutral,,,
00.48.42-17806,20010630,38,GATE_direct-subjective,3086,3105,45.0,19.0,is ready to respect,medium,positive,medium,,
00.48.42-17806,20010630,36,GATE_expressive-subjectivity,3545,3559,53.0,14.0,suffering from,low,negative,,,
00.48.42-17806,20010630,34,GATE_expressive-subjectivity,4141,4195,39.0,54.0,"The possibility of a democratic, stable and prosperous",low,positive,,,
00.48.42-17806,20010630,161,GATE_direct-subjective,2703,2710,51.0,7.0,decided,low,neutral,low,,
00.48.42-17806,20010630,32,GATE_expressive-subjectivity,4104,4132,34.0,28.0,would surely be higher still,medium,negative,,,
00.48.42-17806,20010630,159,GATE_expressive-subjectivity,4457,4483,47.0,26.0,easier and more motivating,medium,positive,,,
00.48.42-17806,20010630,30,GATE_direct-subjective,2285,2304,49.0,19.0,will now be talking,neutral,,neutral,,
00.48.42-17806,20010630,26,GATE_expressive-subjectivity,2835,2870,44.0,35.0,is of course a part of the equation,low,neutral,,,
00.48.42-17806,20010630,20,GATE_expressive-subjectivity,2328,2367,49.0,39.0,integral part of the successful formula,medium,positive,,,
00.48.42-17806,20010630,10,GATE_direct-subjective,2507,2509,37.0,2.0,We,medium,,,,
00.48.42-17806,20010630,6,GATE_direct-subjective,4011,4015,38.0,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,4,GATE_direct-subjective,2083,2100,43.0,17.0,expect to support,low,uncertain-neutral,low,,
00.48.42-17806,20010630,0,GATE_expressive-subjectivity,2990,3003,45.0,13.0,The fact that,low,neutral,,,
01.24.22-5235,20010705,37,GATE_direct-subjective,594,607,61.0,13.0,had forbidden,high,negative,high,,
01.24.22-5235,20010705,22,GATE_direct-subjective,268,274,56.0,6.0,though,low,neutral,low,,
01.24.22-5235,20010705,16,GATE_attitude,268,327,56.0,59.0,though that the animal was suffering from some intoxication,low,,,arguing-pos,somewhat-uncertain
01.24.22-5235,20010705,15,GATE_attitude,594,607,61.0,13.0,had forbidden,high,,,agree-neg,very-uncertain
01.24.22-5235,20010705,13,GATE_expressive-subjectivity,295,327,56.0,32.0,suffering from some intoxication,medium,negative,,,
02.01.27-21386,20010706,39,GATE_direct-subjective,722,726,68.0,4.0,said,neutral,,neutral,,
02.01.27-21386,20010706,35,GATE_direct-subjective,445,449,70.0,4.0,said,neutral,,neutral,,
02.01.27-21386,20010706,14,GATE_expressive-subjectivity,373,389,70.0,16.0,far from perfect,medium,negative,,,
02.01.27-21386,20010706,13,GATE_expressive-subjectivity,394,401,70.0,7.0,perhaps,low,neutral,,,
02.01.27-21386,20010706,12,GATE_expressive-subjectivity,408,422,70.0,14.0,even less than,low,neutral,,,
02.01.27-21386,20010706,10,GATE_direct-subjective,671,686,68.0,15.0,seriously needs,medium,neutral,medium,,
02.01.27-21386,20010706,8,GATE_expressive-subjectivity,671,680,68.0,9.0,seriously,low,neutral,,,
02.01.27-21386,20010706,7,GATE_attitude,370,389,70.0,19.0,is far from perfect,medium,,,sentiment-neg,
02.01.27-21386,20010706,5,GATE_attitude,394,434,70.0,40.0,perhaps seize even less than 10 per cent,low-medium,,,speculation,
02.01.27-21386,20010706,3,GATE_attitude,671,686,68.0,15.0,seriously needs,high,,,other-attitude,somewhat-uncertain
02.01.27-21386,20010706,0,GATE_attitude,671,716,68.0,45.0,seriously needs equipment for detecting drugs,high,,,arguing-pos,
05.19.38-789,20010707,64,GATE_attitude,1004,1043,75.0,39.0,accused the other of backing dissidents,high,,,arguing-pos,
05.19.38-789,20010707,63,GATE_attitude,1004,1043,75.0,39.0,accused the other of backing dissidents,medium-high,,,sentiment-neg,
05.19.38-789,20010707,61,GATE_attitude,1025,1032,75.0,7.0,backing,low-medium,,,sentiment-pos,
05.19.38-789,20010707,60,GATE_attitude,1025,1032,75.0,7.0,backing,low-medium,,,sentiment-pos,
05.19.38-789,20010707,59,GATE_attitude,902,968,71.0,66.0,alleged support for a rival to Museveni in a presidential election,low,,,arguing-pos,
05.19.38-789,20010707,56,GATE_attitude,910,921,71.0,11.0,support for,low-medium,,,sentiment-pos,
05.19.38-789,20010707,54,GATE_attitude,827,859,71.0,32.0,declared Rwanda a hostile nation,medium-high,,,sentiment-neg,
05.19.38-789,20010707,53,GATE_attitude,535,551,74.0,16.0,mounting rivalry,medium-high,,,other-attitude,very-uncertain
05.19.38-789,20010707,51,GATE_attitude,406,414,74.0,8.0,fell out,medium,,,sentiment-neg,
05.19.38-789,20010707,50,GATE_attitude,150,174,73.0,24.0,soured relations between,medium-high,,,sentiment-neg,
05.19.38-789,20010707,48,GATE_attitude,150,174,73.0,24.0,soured relations between,medium-high,,,sentiment-neg,
05.19.38-789,20010707,20,GATE_expressive-subjectivity,843,859,71.0,16.0,a hostile nation,medium,negative,,,
05.19.38-789,20010707,19,GATE_direct-subjective,1025,1032,75.0,7.0,backing,low,positive,low,,
05.19.38-789,20010707,18,GATE_direct-subjective,994,1011,75.0,17.0,have each accused,high,negative,high,,
05.19.38-789,20010707,17,GATE_direct-subjective,994,1011,75.0,17.0,have each accused,high,negative,high,,
05.19.38-789,20010707,16,GATE_direct-subjective,902,909,71.0,7.0,alleged,low,neutral,low,,
05.19.38-789,20010707,15,GATE_direct-subjective,910,917,71.0,7.0,support,medium,positive,medium,,
05.19.38-789,20010707,14,GATE_direct-subjective,1025,1032,75.0,7.0,backing,low,positive,low,,
05.19.38-789,20010707,13,GATE_direct-subjective,150,174,73.0,24.0,soured relations between,medium,negative,medium,,
05.19.38-789,20010707,5,GATE_direct-subjective,406,414,74.0,8.0,fell out,medium,negative,medium,,
05.19.38-789,20010707,4,GATE_direct-subjective,535,551,74.0,16.0,mounting rivalry,medium,negative,medium,,
05.19.38-789,20010707,3,GATE_direct-subjective,827,835,71.0,8.0,declared,neutral,,neutral,,
05.19.38-789,20010707,2,GATE_direct-subjective,150,174,73.0,24.0,soured relations between,medium,negative,medium,,
05.19.38-789,20010707,1,GATE_attitude,910,932,71.0,22.0,support for a rival to,low,,,sentiment-neg,
00.42.05-29788,20010713,119,GATE_expressive-subjectivity,1765,1773,82.0,8.0,threaten,high,negative,,,
00.42.05-29788,20010713,113,GATE_attitude,1521,1602,83.0,81.0,"could trigger a defection of its Asian allies, including Japan, to Beijing's fold",low-medium,,,speculation,
00.42.05-29788,20010713,111,GATE_expressive-subjectivity,342,350,79.0,8.0,unlikely,medium,neutral,,,
00.42.05-29788,20010713,105,GATE_expressive-subjectivity,1058,1063,77.0,5.0,might,medium,neutral,,,
00.42.05-29788,20010713,103,GATE_expressive-subjectivity,768,785,81.0,17.0,bowed to pressure,medium,negative,,,
00.42.05-29788,20010713,99,GATE_attitude,122,195,78.0,73.0,will become totally dependent on mainland China within the next few years,medium,,,arguing-pos,
00.42.05-29788,20010713,97,GATE_attitude,1275,1348,84.0,73.0,will bear witness to Washington's determination to remain a power in Asia,low-medium,,,arguing-pos,
00.42.05-29788,20010713,93,GATE_direct-subjective,1810,1817,82.0,7.0,claimed,low,neutral,low,,
00.42.05-29788,20010713,91,GATE_attitude,2102,2124,80.0,22.0,a dangerous flashpoint,medium-high,,,sentiment-neg,
00.42.05-29788,20010713,89,GATE_attitude,1632,1668,82.0,36.0,are not likely to blink on the issue,low,,,speculation,
00.42.05-29788,20010713,83,GATE_expressive-subjectivity,1471,1474,83.0,3.0,any,low,neutral,,,
00.42.05-29788,20010713,81,GATE_expressive-subjectivity,239,257,78.0,18.0,own political fate,medium,neutral,,,
00.42.05-29788,20010713,75,GATE_expressive-subjectivity,1148,1153,84.0,5.0,might,low,neutral,,,
00.42.05-29788,20010713,73,GATE_attitude,768,810,81.0,42.0,bowed to pressure from its own businessmen,low,,,sentiment-neg,very-uncertain
00.42.05-29788,20010713,67,GATE_attitude,1475,1486,83.0,11.0,concessions,low,,,agree-pos,somewhat-uncertain
00.42.05-29788,20010713,63,GATE_direct-subjective,640,644,81.0,4.0,said,neutral,,neutral,,
00.42.05-29788,20010713,55,GATE_attitude,1127,1214,84.0,87.0,Another factor which might deter Beijing's military adventurism in the Taiwan Strait is,low,,,speculation,
00.42.05-29788,20010713,51,GATE_attitude,1834,1853,80.0,19.0,there is only scant,low-medium,,,arguing-pos,
00.42.05-29788,20010713,49,GATE_attitude,1058,1119,77.0,61.0,might bring the island to its knees without firing one bullet,low,,,speculation,
00.42.05-29788,20010713,45,GATE_expressive-subjectivity,1825,1833,80.0,8.0,Although,low,neutral,,,
00.42.05-29788,20010713,25,GATE_expressive-subjectivity,1333,1340,84.0,7.0,a power,medium,uncertain-positive,,,
00.42.05-29788,20010713,19,GATE_direct-subjective,879,887,81.0,8.0,expected,medium,neutral,medium,,
00.42.05-29788,20010713,15,GATE_direct-subjective,1459,1465,83.0,6.0,saying,neutral,,neutral,,
00.42.05-29788,20010713,11,GATE_attitude,197,257,78.0,60.0,causing the island to lose control of its own political fate,medium-high,,,sentiment-neg,
00.42.05-29788,20010713,9,GATE_attitude,1537,1546,83.0,9.0,defection,medium,,,agree-neg,very-uncertain
00.42.05-29788,20010713,132,GATE_direct-subjective,573,582,79.0,9.0,are eager,medium,positive,medium,,
00.42.05-29788,20010713,3,GATE_attitude,879,944,81.0,65.0,expected to speed up the flow of Taiwan capital to its arch rival,low,,,other-attitude,
00.42.05-29788,20010713,1,GATE_expressive-subjectivity,1170,1190,84.0,20.0,military adventurism,high,negative,,,
00.42.05-29788,20010713,128,GATE_attitude,1309,1325,84.0,16.0,determination to,medium-high,,,intention-pos,
00.42.05-29788,20010713,126,GATE_expressive-subjectivity,1521,1534,83.0,13.0,could trigger,medium,uncertain-neutral,,,
00.42.05-29788,20010713,124,GATE_expressive-subjectivity,219,231,78.0,12.0,lose control,medium,negative,,,
00.42.05-29788,20010713,122,GATE_expressive-subjectivity,2029,2066,80.0,37.0,most heavily armed place in the world,medium,negative,,,
00.42.05-29788,20010713,118,GATE_attitude,2001,2144,80.0,143.0,"still makes the region ""the most heavily armed place in the world next only to the Middle East,"" and a dangerous flashpoint in the 21st century",medium-high,,,arguing-pos,
00.42.05-29788,20010713,116,GATE_attitude,1229,1241,84.0,12.0,readiness to,medium,,,sentiment-pos,
00.42.05-29788,20010713,108,GATE_direct-subjective,275,281,78.0,6.0,warned,high,negative,high,,
00.42.05-29788,20010713,100,GATE_attitude,768,776,81.0,8.0,bowed to,low,,,other-attitude,
00.42.05-29788,20010713,98,GATE_direct-subjective,777,790,81.0,13.0,pressure from,low,uncertain-neutral,low,,
00.42.05-29788,20010713,96,GATE_direct-subjective,1934,1938,80.0,4.0,said,neutral,,neutral,,
00.42.05-29788,20010713,92,GATE_attitude,339,375,79.0,36.0,is unlikely to annex Taiwan by force,low,,,speculation,
00.42.05-29788,20010713,90,GATE_attitude,573,585,79.0,12.0,are eager to,medium,,,sentiment-pos,
00.42.05-29788,20010713,88,GATE_direct-subjective,1350,1359,84.0,9.0,according,low,neutral,low,,
00.42.05-29788,20010713,86,GATE_expressive-subjectivity,377,384,79.0,7.0,despite,low,neutral,,,
00.42.05-29788,20010713,84,GATE_direct-subjective,321,325,79.0,4.0,said,neutral,,neutral,,
00.42.05-29788,20010713,80,GATE_expressive-subjectivity,1636,1655,82.0,19.0,not likely to blink,high,neutral,,,
00.42.05-29788,20010713,74,GATE_direct-subjective,1038,1044,77.0,6.0,saying,neutral,,neutral,,
00.42.05-29788,20010713,68,GATE_direct-subjective,1229,1247,84.0,18.0,readiness to fight,high,uncertain-both,high,,
00.42.05-29788,20010713,64,GATE_attitude,1229,1259,84.0,30.0,readiness to fight Beijing for,medium-high,,,sentiment-pos,
00.42.05-29788,20010713,62,GATE_expressive-subjectivity,1275,1292,84.0,17.0,will bear witness,medium,positive,,,
00.42.05-29788,20010713,56,GATE_direct-subjective,1537,1546,83.0,9.0,defection,medium,uncertain-neutral,medium,,
00.42.05-29788,20010713,52,GATE_expressive-subjectivity,2104,2124,80.0,20.0,dangerous flashpoint,high,negative,,,
00.42.05-29788,20010713,50,GATE_expressive-subjectivity,1715,1726,82.0,11.0,would boost,medium,negative,,,
00.42.05-29788,20010713,44,GATE_direct-subjective,1309,1322,84.0,13.0,determination,medium,uncertain-neutral,medium,,
00.42.05-29788,20010713,42,GATE_expressive-subjectivity,134,151,78.0,17.0,totally dependent,high,negative,,,
00.42.05-29788,20010713,36,GATE_direct-subjective,1475,1486,83.0,11.0,concessions,low,neutral,low,,
00.42.05-29788,20010713,34,GATE_attitude,777,813,81.0,36.0,pressure from its own businessmen to,medium,,,sentiment-pos,
00.42.05-29788,20010713,32,GATE_expressive-subjectivity,934,944,81.0,10.0,arch rival,high,uncertain-neutral,,,
00.42.05-29788,20010713,30,GATE_expressive-subjectivity,1081,1093,77.0,12.0,to its knees,high,negative,,,
00.42.05-29788,20010713,24,GATE_attitude,1715,1795,82.0,80.0,would boost the schisms in Tibet and Xinjiang and threaten the regime in Beijing,medium,,,sentiment-neg,
00.42.05-29788,20010713,22,GATE_expressive-subjectivity,1610,1613,82.0,3.0,But,low,neutral,,,
00.42.05-29788,20010713,20,GATE_expressive-subjectivity,1843,1865,80.0,22.0,only scant possibility,high,neutral,,,
00.42.05-29788,20010713,18,GATE_expressive-subjectivity,891,899,81.0,8.0,speed up,medium,uncertain-neutral,,,
00.42.05-29788,20010713,16,GATE_expressive-subjectivity,952,959,77.0,7.0,Barring,low,neutral,,,
00.42.05-29788,20010713,12,GATE_direct-subjective,768,776,81.0,8.0,bowed to,low,uncertain-neutral,low,,
00.42.05-29788,20010713,8,GATE_expressive-subjectivity,534,541,79.0,7.0,to heel,medium,negative,,,
00.42.05-29788,20010713,2,GATE_attitude,1309,1325,84.0,16.0,determination to,medium-high,,,sentiment-pos,
00.42.05-29788,20010713,129,GATE_expressive-subjectivity,1676,1683,82.0,7.0,because,low,neutral,,,
00.42.05-29788,20010713,0,GATE_expressive-subjectivity,485,500,79.0,15.0,smarter tactics,high,uncertain-neutral,,,
00.31.31-4544,20010715,115,GATE_direct-subjective,1690,1698,89.0,8.0,accusing,medium,negative,medium,,
00.31.31-4544,20010715,111,GATE_attitude,1116,1135,91.0,19.0,express their views,low,,,arguing-pos,
00.31.31-4544,20010715,109,GATE_expressive-subjectivity,1074,1100,91.0,26.0,all corners of the country,low,neutral,,,
00.31.31-4544,20010715,105,GATE_attitude,2211,2248,97.0,37.0,must ask 'opposition to whom and what,medium,,,arguing-pos,
00.31.31-4544,20010715,101,GATE_attitude,2416,2422,96.0,6.0,backed,medium,,,sentiment-pos,
00.31.31-4544,20010715,99,GATE_attitude,1031,1048,91.0,17.0,was determined to,medium-high,,,sentiment-pos,
00.31.31-4544,20010715,95,GATE_attitude,1987,2051,93.0,64.0,must overcome their divisions by finding a formula for consensus,medium-high,,,arguing-pos,
00.31.31-4544,20010715,89,GATE_attitude,2153,2194,95.0,41.0,"merely speaks about ""political opposition",low,,,sentiment-neg,
00.31.31-4544,20010715,85,GATE_attitude,1153,1168,91.0,15.0,wanted to avoid,medium,,,sentiment-neg,
00.31.31-4544,20010715,75,GATE_direct-subjective,1031,1045,91.0,14.0,was determined,medium,neutral,medium,,
00.31.31-4544,20010715,73,GATE_attitude,1788,1824,92.0,36.0,deep divergences remained concerning,medium,,,arguing-pos,
00.31.31-4544,20010715,67,GATE_attitude,1690,1742,89.0,52.0,accusing him of being biased in favour of the rebels,medium-high,,,sentiment-neg,
00.31.31-4544,20010715,63,GATE_expressive-subjectivity,2207,2248,97.0,41.0,One must ask 'opposition to whom and what,low,neutral,,,
00.31.31-4544,20010715,61,GATE_direct-subjective,1113,1135,91.0,22.0,to express their views,medium,neutral,medium,,
00.31.31-4544,20010715,51,GATE_attitude,2293,2304,88.0,11.0,expected to,low,,,other-attitude,
00.31.31-4544,20010715,49,GATE_attitude,1706,1731,89.0,25.0,being biased in favour of,low-medium,,,sentiment-pos,
00.31.31-4544,20010715,41,GATE_direct-subjective,1706,1731,89.0,25.0,being biased in favour of,medium,positive,medium,,
00.31.31-4544,20010715,39,GATE_expressive-subjectivity,1169,1193,91.0,24.0,"a ""superficial"" exercise",low,negative,,,
00.31.31-4544,20010715,33,GATE_direct-subjective,899,906,98.0,7.0,mission,low,neutral,low,,
00.31.31-4544,20010715,27,GATE_direct-subjective,2207,2210,97.0,3.0,One,low,,,,
00.31.31-4544,20010715,13,GATE_direct-subjective,1153,1159,91.0,6.0,wanted,medium,positive,medium,,
00.31.31-4544,20010715,9,GATE_attitude,2216,2219,97.0,3.0,ask,low,,,other-attitude,
00.31.31-4544,20010715,7,GATE_direct-subjective,2293,2301,88.0,8.0,expected,low,positive,low,,
00.31.31-4544,20010715,120,GATE_direct-subjective,1757,1761,92.0,4.0,told,neutral,,neutral,,
00.31.31-4544,20010715,102,GATE_expressive-subjectivity,1987,2000,93.0,13.0,must overcome,medium,neutral,,,
00.31.31-4544,20010715,86,GATE_attitude,1031,1048,91.0,17.0,was determined to,medium-high,,,intention-pos,
00.31.31-4544,20010715,56,GATE_expressive-subjectivity,1788,1804,92.0,16.0,deep divergences,medium,negative,,,
00.31.31-4544,20010715,40,GATE_direct-subjective,2416,2422,96.0,6.0,backed,low,neutral,low,,
00.31.31-4544,20010715,36,GATE_expressive-subjectivity,1050,1056,91.0,6.0,ensure,low,neutral,,,
00.31.31-4544,20010715,34,GATE_attitude,1153,1162,91.0,9.0,wanted to,medium,,,sentiment-pos,
00.31.31-4544,20010715,28,GATE_direct-subjective,2054,2058,93.0,4.0,said,neutral,,neutral,,
00.31.31-4544,20010715,26,GATE_expressive-subjectivity,2153,2166,95.0,13.0,merely speaks,low,negative,,,
00.31.31-4544,20010715,24,GATE_attitude,899,906,98.0,7.0,mission,low-medium,,,intention-pos,somewhat-uncertain
00.31.31-4544,20010715,8,GATE_attitude,1690,1742,89.0,52.0,accusing him of being biased in favour of the rebels,medium-high,,,arguing-pos,
00.31.31-4544,20010715,4,GATE_direct-subjective,2216,2219,97.0,3.0,ask,low,neutral,low,,
00.31.31-4544,20010715,2,GATE_direct-subjective,2200,2204,95.0,4.0,said,neutral,,neutral,,
01.37.46-4752,20010717,50,GATE_attitude,921,932,102.0,11.0,decision to,medium,,,intention-pos,
01.37.46-4752,20010717,35,GATE_attitude,834,847,100.0,13.0,agreements on,medium,,,agree-pos,
01.37.46-4752,20010717,34,GATE_direct-subjective,1150,1155,102.0,5.0,reads,neutral,,neutral,,
01.37.46-4752,20010717,30,GATE_attitude,195,209,101.0,14.0,has called for,medium,,,sentiment-pos,
01.37.46-4752,20010717,27,GATE_expressive-subjectivity,1019,1029,102.0,10.0,negatively,medium,negative,,,
01.37.46-4752,20010717,24,GATE_attitude,542,656,103.0,114.0,is of vital importance from the viewpoint of prospects for the ratification of the Kyoto protocol inside the state,medium,,,arguing-pos,
01.37.46-4752,20010717,22,GATE_attitude,666,683,100.0,17.0,"is ""interested in",medium,,,sentiment-pos,
01.37.46-4752,20010717,21,GATE_direct-subjective,9,16,99.0,7.0,favours,medium,positive,medium,,
01.37.46-4752,20010717,20,GATE_direct-subjective,921,929,102.0,8.0,decision,low,neutral,low,,
01.37.46-4752,20010717,16,GATE_attitude,9,16,99.0,7.0,favours,low-medium,,,sentiment-pos,
01.37.46-4752,20010717,12,GATE_attitude,751,889,100.0,138.0,will guarantee the stable economic development of all signatories to international agreements on the climate sphere without any exceptions,medium,,,arguing-pos,
01.37.46-4752,20010717,11,GATE_direct-subjective,195,209,101.0,14.0,has called for,low,positive,low,,
01.37.46-4752,20010717,9,GATE_direct-subjective,666,680,100.0,14.0,"is ""interested",medium,positive,medium,,
01.37.46-4752,20010717,8,GATE_expressive-subjectivity,545,564,103.0,19.0,of vital importance,high,neutral,,,
01.37.46-4752,20010717,7,GATE_direct-subjective,820,844,100.0,24.0,international agreements,low,neutral,low,,
01.37.46-4752,20010717,5,GATE_direct-subjective,491,496,103.0,5.0,reads,neutral,,neutral,,
01.37.46-4752,20010717,4,GATE_attitude,1019,1134,102.0,115.0,negatively affects the world community's efforts to ensure the global and efficient character of the Kyoto protocol,medium,,,sentiment-neg,
01.37.46-4752,20010717,2,GATE_attitude,1019,1134,102.0,115.0,negatively affects the world community's efforts to ensure the global and efficient character of the Kyoto protocol,medium,,,arguing-pos,
00.42.54-29681,20010718,43,GATE_expressive-subjectivity,610,616,105.0,6.0,purely,low,neutral,,,
00.42.54-29681,20010718,38,GATE_direct-subjective,747,756,105.0,9.0,as saying,neutral,,neutral,,
00.42.54-29681,20010718,37,GATE_direct-subjective,943,956,107.0,13.0,complaints of,medium,negative,medium,,
00.42.54-29681,20010718,33,GATE_direct-subjective,835,853,109.0,18.0,was biased against,medium,negative,medium,,
00.42.54-29681,20010718,24,GATE_direct-subjective,814,820,109.0,6.0,claims,low,negative,low,,
00.42.54-29681,20010718,21,GATE_expressive-subjectivity,619,640,105.0,21.0,precautionary measure,low,neutral,,,
00.42.54-29681,20010718,11,GATE_expressive-subjectivity,839,845,109.0,6.0,biased,medium,negative,,,
00.42.54-29681,20010718,8,GATE_attitude,606,640,105.0,34.0,was purely a precautionary measure,low-medium,,,arguing-pos,
00.42.54-29681,20010718,6,GATE_attitude,814,871,109.0,57.0,claims that the firm was biased against Chinese customers,medium,,,arguing-pos,
00.42.54-29681,20010718,5,GATE_attitude,814,871,109.0,57.0,claims that the firm was biased against Chinese customers,medium,,,sentiment-neg,
00.42.54-29681,20010718,3,GATE_attitude,835,853,109.0,18.0,was biased against,medium,,,sentiment-neg,
