id,rating,set,text,type
10122,4,1.0,,-1.0
10123,3,1.0,,-1.0
10124,1,1.0,,-1.0
10125,1,1.0,,-1.0
10126,2,1.0,,-1.0
10127,1,1.0,,-1.0
10128,1,1.0,,-1.0
10129,1,1.0,,-1.0
1012,2,1.0,,-1.0
10130,2,1.0,,-1.0
10131,1,1.0,,-1.0
10132,2,1.0,,-1.0
10133,1,1.0,,-1.0
10134,1,1.0,,-1.0
10135,2,1.0,,-1.0
10136,2,1.0,,-1.0
10137,1,1.0,,-1.0
10138,3,1.0,,-1.0
10139,4,1.0,,-1.0
1013,2,1.0,,-1.0
10140,3,1.0,,-1.0
10141,2,1.0,,-1.0
10142,2,1.0,,-1.0
10143,1,1.0,,-1.0
10144,2,1.0,,-1.0
10145,1,1.0,,-1.0
10146,1,1.0,,-1.0
10147,1,1.0,,-1.0
10148,3,1.0,,-1.0
10149,1,1.0,,-1.0
1014,2,1.0,,-1.0
10150,3,1.0,,-1.0
10151,1,1.0,,-1.0
10152,1,1.0,,-1.0
10153,4,1.0,,-1.0
10154,1,1.0,,-1.0
10155,4,1.0,,-1.0
10156,1,1.0,,-1.0
10157,4,1.0,,-1.0
10158,4,1.0,,-1.0
10159,3,1.0,,-1.0
1015,2,1.0,,-1.0
10160,4,1.0,,-1.0
10161,2,1.0,,-1.0
10162,3,1.0,,-1.0
10163,4,1.0,,-1.0
10164,4,1.0,,-1.0
10165,3,1.0,,-1.0
10166,2,1.0,,-1.0
10167,1,1.0,,-1.0
10168,2,1.0,,-1.0
10169,2,1.0,,-1.0
1016,4,1.0,,-1.0
10170,2,1.0,,-1.0
10171,3,1.0,,-1.0
10172,1,1.0,,-1.0
10173,1,1.0,,-1.0
10174,4,1.0,,-1.0
10175,3,1.0,,-1.0
10176,1,1.0,,-1.0
10177,1,1.0,,-1.0
10178,3,1.0,,-1.0
10179,1,1.0,,-1.0
1017,1,1.0,,-1.0
10180,1,1.0,,-1.0
10181,3,1.0,,-1.0
10182,3,1.0,,-1.0
10183,1,1.0,,-1.0
10184,1,1.0,,-1.0
10185,4,1.0,,-1.0
10186,1,1.0,,-1.0
10187,3,1.0,,-1.0
10188,2,1.0,,-1.0
10189,4,1.0,,-1.0
1018,3,1.0,,-1.0
10190,1,1.0,,-1.0
10191,3,1.0,,-1.0
10192,2,1.0,,-1.0
10193,1,1.0,,-1.0
10194,3,1.0,,-1.0
10195,1,1.0,,-1.0
10196,1,1.0,,-1.0
10197,1,1.0,,-1.0
10198,4,1.0,,-1.0
10199,4,1.0,,-1.0
1019,1,1.0,,-1.0
101,1,1.0,,-1.0
10200,4,1.0,,-1.0
10201,3,1.0,,-1.0
10202,3,1.0,,-1.0
10203,2,1.0,,-1.0
10204,2,1.0,,-1.0
10205,2,1.0,,-1.0
10206,3,1.0,,-1.0
10207,2,1.0,,-1.0
10208,3,1.0,,-1.0
10209,3,1.0,,-1.0
1020,2,1.0,,-1.0
10210,3,1.0,,-1.0
10211,2,1.0,,-1.0
10212,1,1.0,,-1.0
10213,1,1.0,,-1.0
10214,4,1.0,,-1.0
10215,2,1.0,,-1.0
10216,3,1.0,,-1.0
10217,1,1.0,,-1.0
10218,3,1.0,,-1.0
10219,2,1.0,,-1.0
1021,1,1.0,,-1.0
10220,3,1.0,,-1.0
10221,3,1.0,,-1.0
10222,4,1.0,,-1.0
10223,4,1.0,,-1.0
10224,4,1.0,,-1.0
10225,3,1.0,,-1.0
10226,3,1.0,,-1.0
10227,1,1.0,,-1.0
10228,3,1.0,,-1.0
10229,3,1.0,,-1.0
1022,1,1.0,,-1.0
10230,1,1.0,,-1.0
10231,1,1.0,,-1.0
10232,1,1.0,,-1.0
10233,1,1.0,,-1.0
10234,1,1.0,,-1.0
10235,2,1.0,,-1.0
10236,1,1.0,,-1.0
10237,2,1.0,,-1.0
10238,4,1.0,,-1.0
10239,3,1.0,,-1.0
1023,3,1.0,,-1.0
10240,1,1.0,,-1.0
10241,1,1.0,,-1.0
10242,3,1.0,,-1.0
10243,1,1.0,,-1.0
10244,2,1.0,,-1.0
10245,3,1.0,,-1.0
10246,2,1.0,,-1.0
10247,2,1.0,,-1.0
10248,1,1.0,,-1.0
10249,1,1.0,,-1.0
1024,1,1.0,,-1.0
10250,3,1.0,,-1.0
10251,3,1.0,,-1.0
10252,3,1.0,,-1.0
10253,1,1.0,,-1.0
10254,1,1.0,,-1.0
10255,1,1.0,,-1.0
10256,3,1.0,,-1.0
10257,1,1.0,,-1.0
10258,4,1.0,,-1.0
10259,1,1.0,,-1.0
1025,2,1.0,,-1.0
10260,1,1.0,,-1.0
10261,1,1.0,,-1.0
10262,1,1.0,,-1.0
10263,4,1.0,,-1.0
10264,4,1.0,,-1.0
10265,2,1.0,,-1.0
10266,1,1.0,,-1.0
10267,1,1.0,,-1.0
10268,1,1.0,,-1.0
10269,1,1.0,,-1.0
1026,3,1.0,,-1.0
10270,1,1.0,,-1.0
10271,1,1.0,,-1.0
10272,1,1.0,,-1.0
10273,2,1.0,,-1.0
10274,4,1.0,,-1.0
10275,3,1.0,,-1.0
10276,1,1.0,,-1.0
10277,1,1.0,,-1.0
10278,1,1.0,,-1.0
10279,3,1.0,,-1.0
1027,1,1.0,,-1.0
10280,3,1.0,,-1.0
10281,1,1.0,,-1.0
10282,2,1.0,,-1.0
10283,1,1.0,,-1.0
10284,3,1.0,,-1.0
10285,3,1.0,,-1.0
10286,1,1.0,,-1.0
10287,4,1.0,,-1.0
10288,1,1.0,,-1.0
10289,1,1.0,,-1.0
1028,3,1.0,,-1.0
10290,1,1.0,,-1.0
10291,4,1.0,,-1.0
10292,3,1.0,,-1.0
10293,4,1.0,,-1.0
10294,1,1.0,,-1.0
10295,1,1.0,,-1.0
10296,1,1.0,,-1.0
10297,3,1.0,,-1.0
10298,4,1.0,,-1.0
10299,4,1.0,,-1.0
1029,3,1.0,,-1.0
102,1,1.0,,-1.0
10300,3,1.0,,-1.0
10301,4,1.0,,-1.0
10302,1,1.0,,-1.0
10303,1,1.0,,-1.0
10304,1,1.0,,-1.0
10305,4,1.0,,-1.0
10306,4,1.0,,-1.0
10307,2,1.0,,-1.0
10308,1,1.0,,-1.0
10309,3,1.0,,-1.0
1030,2,1.0,,-1.0
10310,2,1.0,,-1.0
10311,3,1.0,,-1.0
10312,4,1.0,,-1.0
10313,4,1.0,,-1.0
10314,4,1.0,,-1.0
10315,2,1.0,,-1.0
10316,3,1.0,,-1.0
10317,1,1.0,,-1.0
10318,2,1.0,,-1.0
10319,1,1.0,,-1.0
1031,2,1.0,,-1.0
10320,2,1.0,,-1.0
10321,2,1.0,,-1.0
10322,2,1.0,,-1.0
10323,1,1.0,,-1.0
10324,2,1.0,,-1.0
10325,1,1.0,,-1.0
10326,1,1.0,,-1.0
10327,1,1.0,,-1.0
10328,4,1.0,,-1.0
10329,1,1.0,,-1.0
1032,1,1.0,,-1.0
10330,1,1.0,,-1.0
10331,2,1.0,,-1.0
10332,1,1.0,,-1.0
10333,1,1.0,,-1.0
10334,3,1.0,,-1.0
10335,3,1.0,,-1.0
10336,4,1.0,,-1.0
10337,3,1.0,,-1.0
10338,2,1.0,,-1.0
10339,2,1.0,,-1.0
1033,4,1.0,,-1.0
10340,1,1.0,,-1.0
10341,1,1.0,,-1.0
10342,2,1.0,,-1.0
10343,3,1.0,,-1.0
10344,4,1.0,,-1.0
10345,4,1.0,,-1.0
10346,4,1.0,,-1.0
10347,4,1.0,,-1.0
10348,1,1.0,,-1.0
10349,4,1.0,,-1.0
1034,2,1.0,,-1.0
10350,1,1.0,,-1.0
10351,1,1.0,,-1.0
10352,4,1.0,,-1.0
10353,3,1.0,,-1.0
10354,4,1.0,,-1.0
10355,1,1.0,,-1.0
10356,2,1.0,,-1.0
10357,1,1.0,,-1.0
10358,1,1.0,,-1.0
10359,1,1.0,,-1.0
1035,1,1.0,,-1.0
10360,3,1.0,,-1.0
10361,1,1.0,,-1.0
10362,1,1.0,,-1.0
10363,2,1.0,,-1.0
10364,4,1.0,,-1.0
10365,1,1.0,,-1.0
10366,1,1.0,,-1.0
10367,4,1.0,,-1.0
10368,1,1.0,,-1.0
10369,1,1.0,,-1.0
1036,3,1.0,,-1.0
10370,4,1.0,,-1.0
10371,3,1.0,,-1.0
10372,3,1.0,,-1.0
10373,3,1.0,,-1.0
10374,1,1.0,,-1.0
10375,1,1.0,,-1.0
10376,1,1.0,,-1.0
10377,1,1.0,,-1.0
10378,2,1.0,,-1.0
10379,2,1.0,,-1.0
1037,1,1.0,,-1.0
10380,4,1.0,,-1.0
10381,4,1.0,,-1.0
10382,4,1.0,,-1.0
10383,2,1.0,,-1.0
10384,4,1.0,,-1.0
10385,3,1.0,,-1.0
10386,4,1.0,,-1.0
10387,1,1.0,,-1.0
10388,4,1.0,,-1.0
10389,4,1.0,,-1.0
1038,2,1.0,,-1.0
10390,2,1.0,,-1.0
10391,3,1.0,,-1.0
10392,3,1.0,,-1.0
10393,4,1.0,,-1.0
10394,3,1.0,,-1.0
10395,2,1.0,,-1.0
10396,1,1.0,,-1.0
10397,2,1.0,,-1.0
10398,3,1.0,,-1.0
10399,4,1.0,,-1.0
1039,1,1.0,,-1.0
103,1,1.0,,-1.0
10400,1,1.0,,-1.0
10401,2,1.0,,-1.0
10402,1,1.0,,-1.0
10403,2,1.0,,-1.0
10404,4,1.0,,-1.0
10405,4,1.0,,-1.0
10406,3,1.0,,-1.0
10407,4,1.0,,-1.0
10408,1,1.0,,-1.0
10409,2,1.0,,-1.0
1040,1,1.0,,-1.0
10410,1,1.0,,-1.0
10411,2,1.0,,-1.0
10412,1,1.0,,-1.0
10413,1,1.0,,-1.0
10414,3,1.0,,-1.0
10415,2,1.0,,-1.0
10416,2,1.0,,-1.0
10417,1,1.0,,-1.0
10418,1,1.0,,-1.0
10419,1,1.0,,-1.0
1041,1,1.0,,-1.0
10420,2,1.0,,-1.0
10421,2,1.0,,-1.0
10422,1,1.0,,-1.0
10423,1,1.0,,-1.0
10424,2,1.0,,-1.0
10425,3,1.0,,-1.0
10426,1,1.0,,-1.0
10427,4,1.0,,-1.0
10428,4,1.0,,-1.0
10429,1,1.0,,-1.0
1042,1,1.0,,-1.0
10430,3,1.0,,-1.0
10431,1,1.0,,-1.0
10432,2,1.0,,-1.0
10433,4,1.0,,-1.0
10434,3,1.0,,-1.0
10435,2,1.0,,-1.0
10436,4,1.0,,-1.0
10437,4,1.0,,-1.0
10438,4,1.0,,-1.0
10439,1,1.0,,-1.0
1043,3,1.0,,-1.0
10440,1,1.0,,-1.0
10441,1,1.0,,-1.0
10442,2,1.0,,-1.0
10443,3,1.0,,-1.0
10444,1,1.0,,-1.0
10445,1,1.0,,-1.0
10446,2,1.0,,-1.0
10447,1,1.0,,-1.0
10448,1,1.0,,-1.0
10449,4,1.0,,-1.0
1044,4,1.0,,-1.0
10450,1,1.0,,-1.0
10451,1,1.0,,-1.0
10452,1,1.0,,-1.0
10453,1,1.0,,-1.0
10454,1,1.0,,-1.0
10455,1,1.0,,-1.0
10456,1,1.0,,-1.0
10457,3,1.0,,-1.0
10458,2,1.0,,-1.0
10459,2,1.0,,-1.0
1045,2,1.0,,-1.0
10460,3,1.0,,-1.0
10461,1,1.0,,-1.0
10462,4,1.0,,-1.0
10463,1,1.0,,-1.0
10464,1,1.0,,-1.0
10465,2,1.0,,-1.0
10466,2,1.0,,-1.0
10467,1,1.0,,-1.0
10468,1,1.0,,-1.0
10469,1,1.0,,-1.0
1046,2,1.0,,-1.0
10470,1,1.0,,-1.0
10471,2,1.0,,-1.0
10472,1,1.0,,-1.0
10473,3,1.0,,-1.0
10474,3,1.0,,-1.0
10475,1,1.0,,-1.0
10476,1,1.0,,-1.0
10477,1,1.0,,-1.0
10478,3,1.0,,-1.0
10479,2,1.0,,-1.0
1047,2,1.0,,-1.0
10480,2,1.0,,-1.0
10481,2,1.0,,-1.0
10482,1,1.0,,-1.0
10483,4,1.0,,-1.0
10484,2,1.0,,-1.0
10485,1,1.0,,-1.0
10486,3,1.0,,-1.0
10487,2,1.0,,-1.0
10488,1,1.0,,-1.0
10489,4,1.0,,-1.0
1048,4,1.0,,-1.0
10490,1,1.0,,-1.0
10491,1,1.0,,-1.0
10492,1,1.0,,-1.0
10493,4,1.0,,-1.0
10494,1,1.0,,-1.0
10495,1,1.0,,-1.0
10496,4,1.0,,-1.0
10497,4,1.0,,-1.0
10498,3,1.0,,-1.0
10499,1,1.0,,-1.0
1049,3,1.0,,-1.0
104,3,1.0,,-1.0
10500,4,1.0,,-1.0
10501,4,1.0,,-1.0
10502,4,1.0,,-1.0
10503,1,1.0,,-1.0
10504,1,1.0,,-1.0
10505,2,1.0,,-1.0
10506,1,1.0,,-1.0
10507,1,1.0,,-1.0
10508,1,1.0,,-1.0
10509,3,1.0,,-1.0
1050,4,1.0,,-1.0
10510,1,1.0,,-1.0
10511,1,1.0,,-1.0
10512,1,1.0,,-1.0
10513,3,1.0,,-1.0
10514,3,1.0,,-1.0
10515,1,1.0,,-1.0
10516,4,1.0,,-1.0
10517,1,1.0,,-1.0
10518,1,1.0,,-1.0
10519,1,1.0,,-1.0
1051,4,1.0,,-1.0
10520,2,1.0,,-1.0
10521,1,1.0,,-1.0
10522,4,1.0,,-1.0
10523,2,1.0,,-1.0
10524,4,1.0,,-1.0
10525,4,1.0,,-1.0
10526,3,1.0,,-1.0
10527,4,1.0,,-1.0
10528,3,1.0,,-1.0
10529,4,1.0,,-1.0
1052,1,1.0,,-1.0
10530,4,1.0,,-1.0
10531,3,1.0,,-1.0
10532,4,1.0,,-1.0
10533,4,1.0,,-1.0
10534,1,1.0,,-1.0
10535,2,1.0,,-1.0
10536,4,1.0,,-1.0
10537,1,1.0,,-1.0
10538,3,1.0,,-1.0
10539,4,1.0,,-1.0
1053,4,1.0,,-1.0
10540,4,1.0,,-1.0
10541,4,1.0,,-1.0
10542,3,1.0,,-1.0
10543,3,1.0,,-1.0
10544,4,1.0,,-1.0
10545,1,1.0,,-1.0
10546,1,1.0,,-1.0
10547,1,1.0,,-1.0
10548,3,1.0,,-1.0
10549,2,1.0,,-1.0
1054,3,1.0,,-1.0
10550,4,1.0,,-1.0
10551,1,1.0,,-1.0
10552,1,1.0,,-1.0
10553,1,1.0,,-1.0
10554,1,1.0,,-1.0
10555,1,1.0,,-1.0
10556,1,1.0,,-1.0
10557,3,1.0,,-1.0
10558,4,1.0,,-1.0
10559,3,1.0,,-1.0
1055,2,1.0,,-1.0
10560,3,1.0,,-1.0
10561,1,1.0,,-1.0
10562,2,1.0,,-1.0
10563,1,1.0,,-1.0
10564,4,1.0,,-1.0
10565,3,1.0,,-1.0
10566,3,1.0,,-1.0
10567,2,1.0,,-1.0
10568,1,1.0,,-1.0
10569,1,1.0,,-1.0
1056,3,1.0,,-1.0
10570,1,1.0,,-1.0
10571,1,1.0,,-1.0
10572,1,1.0,,-1.0
10573,3,1.0,,-1.0
10574,1,1.0,,-1.0
10575,3,1.0,,-1.0
10576,4,1.0,,-1.0
10577,2,1.0,,-1.0
10578,1,1.0,,-1.0
10579,2,1.0,,-1.0
1057,3,1.0,,-1.0
10580,4,1.0,,-1.0
10581,1,1.0,,-1.0
10582,3,1.0,,-1.0
10583,3,1.0,,-1.0
10584,1,1.0,,-1.0
10585,2,1.0,,-1.0
10586,1,1.0,,-1.0
10587,1,1.0,,-1.0
10588,1,1.0,,-1.0
10589,1,1.0,,-1.0
1058,1,1.0,,-1.0
10590,4,1.0,,-1.0
10591,3,1.0,,-1.0
10592,1,1.0,,-1.0
10593,4,1.0,,-1.0
10594,1,1.0,,-1.0
10595,4,1.0,,-1.0
10596,1,1.0,,-1.0
10597,2,1.0,,-1.0
10598,1,1.0,,-1.0
10599,2,1.0,,-1.0
1059,2,1.0,,-1.0
105,2,1.0,,-1.0
10600,2,1.0,,-1.0
10601,3,1.0,,-1.0
10602,4,1.0,,-1.0
10603,1,1.0,,-1.0
10604,2,1.0,,-1.0
10605,1,1.0,,-1.0
10606,2,1.0,,-1.0
10607,2,1.0,,-1.0
10608,2,1.0,,-1.0
10609,3,1.0,,-1.0
1060,4,1.0,,-1.0
10610,1,1.0,,-1.0
10611,1,1.0,,-1.0
10612,3,1.0,,-1.0
10613,3,1.0,,-1.0
10614,1,1.0,,-1.0
10615,2,1.0,,-1.0
10616,2,1.0,,-1.0
10617,1,1.0,,-1.0
10618,1,1.0,,-1.0
10619,1,1.0,,-1.0
1061,4,1.0,,-1.0
10620,4,1.0,,-1.0
10621,3,1.0,,-1.0
10622,3,1.0,,-1.0
10623,3,1.0,,-1.0
10624,1,1.0,,-1.0
10625,2,1.0,,-1.0
10626,1,1.0,,-1.0
10627,1,1.0,,-1.0
10628,1,1.0,,-1.0
10629,2,1.0,,-1.0
1062,4,1.0,,-1.0
10630,1,1.0,,-1.0
10631,1,1.0,,-1.0
10632,1,1.0,,-1.0
10633,1,1.0,,-1.0
10634,1,1.0,,-1.0
10635,1,1.0,,-1.0
10636,4,1.0,,-1.0
10637,2,1.0,,-1.0
10638,2,1.0,,-1.0
10639,1,1.0,,-1.0
1063,3,1.0,,-1.0
10640,3,1.0,,-1.0
10641,2,1.0,,-1.0
10642,2,1.0,,-1.0
10643,1,1.0,,-1.0
10644,3,1.0,,-1.0
10645,4,1.0,,-1.0
10646,4,1.0,,-1.0
10647,2,1.0,,-1.0
10648,4,1.0,,-1.0
10649,4,1.0,,-1.0
1064,2,1.0,,-1.0
10650,1,1.0,,-1.0
10651,1,1.0,,-1.0
10652,2,1.0,,-1.0
10653,4,1.0,,-1.0
10654,1,1.0,,-1.0
10655,3,1.0,,-1.0
10656,4,1.0,,-1.0
10657,3,1.0,,-1.0
10658,4,1.0,,-1.0
10659,2,1.0,,-1.0
1065,1,1.0,,-1.0
10660,1,1.0,,-1.0
10661,3,1.0,,-1.0
10662,1,1.0,,-1.0
10663,4,1.0,,-1.0
10664,3,1.0,,-1.0
10665,2,1.0,,-1.0
10666,4,1.0,,-1.0
10667,3,1.0,,-1.0
10668,3,1.0,,-1.0
10669,2,1.0,,-1.0
1066,2,1.0,,-1.0
10670,3,1.0,,-1.0
10671,1,1.0,,-1.0
10672,1,1.0,,-1.0
10673,2,1.0,,-1.0
10674,1,1.0,,-1.0
10675,2,1.0,,-1.0
10676,3,1.0,,-1.0
10677,3,1.0,,-1.0
10678,4,1.0,,-1.0
10679,3,1.0,,-1.0
1067,3,1.0,,-1.0
10680,1,1.0,,-1.0
10681,1,1.0,,-1.0
10682,1,1.0,,-1.0
10683,1,1.0,,-1.0
10684,3,1.0,,-1.0
10685,3,1.0,,-1.0
10686,2,1.0,,-1.0
10687,1,1.0,,-1.0
10688,1,1.0,,-1.0
10689,4,1.0,,-1.0
1068,1,1.0,,-1.0
10690,2,1.0,,-1.0
10691,3,1.0,,-1.0
10692,4,1.0,,-1.0
10693,4,1.0,,-1.0
10694,1,1.0,,-1.0
10695,1,1.0,,-1.0
10696,3,1.0,,-1.0
10697,4,1.0,,-1.0
10698,4,1.0,,-1.0
10699,4,1.0,,-1.0
1069,3,1.0,,-1.0
106,2,1.0,,-1.0
10700,3,1.0,,-1.0
10701,4,1.0,,-1.0
10702,1,1.0,,-1.0
10703,3,1.0,,-1.0
10704,4,1.0,,-1.0
10705,4,1.0,,-1.0
10706,4,1.0,,-1.0
10707,1,1.0,,-1.0
10708,3,1.0,,-1.0
10709,1,1.0,,-1.0
1070,1,1.0,,-1.0
10710,1,1.0,,-1.0
10711,4,1.0,,-1.0
10712,1,1.0,,-1.0
10713,1,1.0,,-1.0
10714,2,1.0,,-1.0
10715,4,1.0,,-1.0
10716,3,1.0,,-1.0
10717,4,1.0,,-1.0
10718,4,1.0,,-1.0
10719,2,1.0,,-1.0
1071,4,1.0,,-1.0
10720,2,1.0,,-1.0
10721,3,1.0,,-1.0
10722,4,1.0,,-1.0
10723,4,1.0,,-1.0
10724,2,1.0,,-1.0
10725,1,1.0,,-1.0
10726,1,1.0,,-1.0
10727,4,1.0,,-1.0
10728,3,1.0,,-1.0
10729,1,1.0,,-1.0
1072,4,1.0,,-1.0
10730,1,1.0,,-1.0
10731,1,1.0,,-1.0
10732,3,1.0,,-1.0
10733,4,1.0,,-1.0
10734,4,1.0,,-1.0
10735,4,1.0,,-1.0
10736,1,1.0,,-1.0
10737,3,1.0,,-1.0
10738,4,1.0,,-1.0
10739,4,1.0,,-1.0
1073,2,1.0,,-1.0
10740,4,1.0,,-1.0
10741,4,1.0,,-1.0
10742,1,1.0,,-1.0
10743,2,1.0,,-1.0
10744,3,1.0,,-1.0
10745,3,1.0,,-1.0
10746,4,1.0,,-1.0
10747,4,1.0,,-1.0
10748,4,1.0,,-1.0
10749,1,1.0,,-1.0
1074,4,1.0,,-1.0
10750,3,1.0,,-1.0
10751,1,1.0,,-1.0
10752,1,1.0,,-1.0
10753,2,1.0,,-1.0
10754,4,1.0,,-1.0
10755,1,1.0,,-1.0
10756,2,1.0,,-1.0
10757,4,1.0,,-1.0
10758,1,1.0,,-1.0
10759,4,1.0,,-1.0
1075,1,1.0,,-1.0
10760,1,1.0,,-1.0
10761,4,1.0,,-1.0
10762,2,1.0,,-1.0
10763,3,1.0,,-1.0
10764,3,1.0,,-1.0
10765,1,1.0,,-1.0
10766,4,1.0,,-1.0
10767,1,1.0,,-1.0
10768,1,1.0,,-1.0
10769,2,1.0,,-1.0
1076,1,1.0,,-1.0
10770,1,1.0,,-1.0
10771,2,1.0,,-1.0
10772,1,1.0,,-1.0
10773,1,1.0,,-1.0
10774,2,1.0,,-1.0
10775,3,1.0,,-1.0
10776,4,1.0,,-1.0
10777,2,1.0,,-1.0
10778,3,1.0,,-1.0
10779,4,1.0,,-1.0
1077,3,1.0,,-1.0
10780,4,1.0,,-1.0
10781,2,1.0,,-1.0
10782,1,1.0,,-1.0
10783,2,1.0,,-1.0
10784,1,1.0,,-1.0
10785,1,1.0,,-1.0
10786,3,1.0,,-1.0
10787,1,1.0,,-1.0
10788,2,1.0,,-1.0
10789,3,1.0,,-1.0
1078,4,1.0,,-1.0
10790,3,1.0,,-1.0
10791,2,1.0,,-1.0
10792,1,1.0,,-1.0
10793,4,1.0,,-1.0
10794,1,1.0,,-1.0
10795,1,1.0,,-1.0
10796,1,1.0,,-1.0
10797,2,1.0,,-1.0
10798,1,1.0,,-1.0
10799,1,1.0,,-1.0
1079,3,1.0,,-1.0
107,2,1.0,,-1.0
10800,1,1.0,,-1.0
10801,1,1.0,,-1.0
10802,1,1.0,,-1.0
10803,3,1.0,,-1.0
10804,1,1.0,,-1.0
10805,2,1.0,,-1.0
10806,1,1.0,,-1.0
10807,1,1.0,,-1.0
10808,1,1.0,,-1.0
10809,1,1.0,,-1.0
1080,2,1.0,,-1.0
10810,1,1.0,,-1.0
10811,1,1.0,,-1.0
10812,1,1.0,,-1.0
10813,4,1.0,,-1.0
10814,2,1.0,,-1.0
10815,2,1.0,,-1.0
10816,2,1.0,,-1.0
10817,3,1.0,,-1.0
10818,1,1.0,,-1.0
10819,3,1.0,,-1.0
1081,4,1.0,,-1.0
10820,1,1.0,,-1.0
10821,1,1.0,,-1.0
10822,1,1.0,,-1.0
10823,1,1.0,,-1.0
10824,2,1.0,,-1.0
10825,1,1.0,,-1.0
10826,1,1.0,,-1.0
10827,1,1.0,,-1.0
10828,1,1.0,,-1.0
10829,3,1.0,,-1.0
1082,1,1.0,,-1.0
10830,1,1.0,,-1.0
10831,2,1.0,,-1.0
10832,2,1.0,,-1.0
10833,3,1.0,,-1.0
10834,4,1.0,,-1.0
10835,4,1.0,,-1.0
10836,2,1.0,,-1.0
10837,1,1.0,,-1.0
10838,1,1.0,,-1.0
10839,2,1.0,,-1.0
