index,docName,dirName,idx,startByte,endByte,sentLen,annotsCount,text,sentiment-measured,sentiment-type,sentiment-intensity
44,00.48.42-17806,20010630,16,2799,2982,183.0,4.0,"Labus said Milosevic's extradition ""is of course a part of the equation,"" but added ""broad economic reforms and democracy that we introduced into the country"" had played a major role.",1.0,0.0,0.0
45,00.48.42-17806,20010630,17,2989,3137,148.0,4.0,"""The fact that Milosevic is on the way to be brought to justice is just a signal that my country is ready to respect all international obligations.""",1.0,0.0,0.88075
46,00.48.42-17806,20010630,18,3728,3924,196.0,3.0,"""A Yugoslavia that has a firm and decisive program of economic reforms in place is and is increasingly integrated into the wider international community is no longer a dream, it is now a reality.""",1.0,0.0,0.9325
47,00.48.42-17806,20010630,19,4316,4538,222.0,3.0,"In Berlin, Bodo Hombach, coordinator of the Balkans Stability Pact, said several delegations to the Brussels conference told him it was now ""easier and more motivating"" to supply Belgrade with the aid it desperately needs.",1.0,1.0,0.416265577438
48,00.48.42-17806,20010630,20,740,1016,276.0,1.0,"By midday, the conference had garnered pledges totalling some 1.37 billion dollars in grants and low- or no-interest loans over the next three years, against the target figure set by the World Bank of 3.9 billion dollars for what Belgrade would need for the three-year period.",1.0,0.0,0.0
49,00.48.42-17806,20010630,21,2186,2414,228.0,2.0,"Linn said that as a result of recent changes in Belgrade, including the Milosevic extradition, ""we will now be talking about Yugoslavia as an integral part of the successful formula of trust for economic recovery in the region.""",1.0,0.0,0.75
50,00.48.42-17806,20010630,22,2421,2506,85.0,2.0,"Aside from the financial assistance, said Labus, ""this conference is symbolic for us.",1.0,0.0,0.0
51,00.48.42-17806,20010630,23,2699,2792,93.0,1.0,"""We decided to take the fast track to Europe and implement directly the international rules.""",1.0,0.0,0.0
52,00.48.42-17806,20010630,24,3144,3278,134.0,2.0,"Labus recalled that his country was recovering from ""a decade of dramatic economic decline, including trade isolation and sanctions...",1.0,0.0,-0.9
53,00.48.42-17806,20010630,25,3474,3721,247.0,3.0,"Infrastructure, including power, water, rail and roads, he said, were ""suffering from many years of decay, mismanagement and the consequences of the NATO 1999 bombing campaign"" that ended Belgrade's repression of Kosovo's ethnic Albanian majority.",1.0,0.0,-0.96
56,01.24.22-5235,20010705,2,258,400,142.0,3.0,"The owner though that the animal was suffering from some intoxication, which was confirmed also by the veterinarian called to examine the cow.",1.0,1.0,0.364102297266
61,01.24.22-5235,20010705,7,546,621,75.0,2.0,"The owner put down the animal, although the vet had forbidden him to do so.",1.0,1.0,0.442282176028
68,02.01.27-21386,20010706,3,659,727,68.0,5.0,"""Our agency seriously needs equipment for detecting drugs,"" he said.",1.0,0.0,0.0
70,02.01.27-21386,20010706,5,339,515,176.0,6.0,"""Since our technical equipment is far from perfect, we perhaps seize even less than 10 per cent,"" Nazarov said in an interview with the Thursday edition of Nezavisimaya Gazeta.",1.0,1.0,0.36402424747
71,05.19.38-789,20010707,0,810,969,159.0,8.0,"In March, Uganda declared Rwanda a hostile nation because of tensions arising from Kigali's alleged support for a rival to Museveni in a presidential election.",1.0,1.0,0.325077399381
73,05.19.38-789,20010707,2,2,204,202.0,4.0,"GATUNA, Rwanda, July 6 (AFP) - President Paul Kagame of Rwanda and his Ugandan counterpart Yoweri Museveni began talks here Friday in a bid to mend soured relations between their neighbouring countries.",1.0,1.0,0.416265577438
74,05.19.38-789,20010707,3,380,607,227.0,4.0,"The formerly close allies fell out in 1999, the year after each sent troops to back rebel movements in the neighbouring Democratic Republic of Congo, when mounting rivalry lead to violent clashes between their own armies there.",1.0,1.0,0.416265577438
75,05.19.38-789,20010707,4,976,1044,68.0,8.0,The two countries have each accused the other of backing dissidents.,1.0,1.0,0.520331971798
77,00.42.05-29788,20010713,0,952,1120,168.0,5.0,"Barring any reversal to the trend, the weekly quoted U.S. magazine Business Weekly as saying that Beijing might bring the island to its knees without firing one bullet.",1.0,1.0,0.389884746468
78,00.42.05-29788,20010713,1,81,291,210.0,6.0,"Paris, July 11 (CNA) -- Taiwan's economy will become totally dependent on mainland China within the next few years, causing the island to lose control of its own political fate, a French weekly warned Thursday.",1.0,1.0,0.520071805812
79,00.42.05-29788,20010713,2,298,622,324.0,8.0,"The Nouvel Observateur said that Beijing is unlikely to annex Taiwan by force, despite its deployment of missiles along its coastal provinces opposite Taiwan, but is instead resorting to smarter tactics, bringing the Taiwan authorities to heel through Taiwan businessmen who are eager to explore the mainland Chinese market.",1.0,1.0,0.322241590135
80,00.42.05-29788,20010713,3,1825,2145,320.0,8.0,"Although there is only scant possibility of a military conflict in the Taiwan Strait, the Nouvel Observateur said, Beijing's military buildup in its southern coastal provinces still makes the region ""the most heavily armed place in the world next only to the Middle East,"" and a dangerous flashpoint in the 21st century.",1.0,1.0,0.415641179072
81,00.42.05-29788,20010713,4,629,945,316.0,11.0,"The weekly said that mainland China has attracted more than US$50 billion in investment from Taiwan thus far, while the Taipei authorities bowed to pressure from its own businessmen to lift restrictions on investment in mainland China in May, a move expected to speed up the flow of Taiwan capital to its arch rival.",1.0,1.0,0.358638811562
82,00.42.05-29788,20010713,5,1610,1818,208.0,8.0,"But Beijing's leaders are not likely to blink on the issue either because an independent state in Taiwan would boost the schisms in Tibet and Xinjiang and threaten the regime in Beijing, the magazine claimed.",1.0,1.0,0.415407029685
83,00.42.05-29788,20010713,6,1383,1603,220.0,8.0,"The publication quoted Wu Guoguang, a professor at Hong Kong University, as saying that any concessions by Washington on the Taiwan issue could trigger a defection of its Asian allies, including Japan, to Beijing's fold.",1.0,0.0,0.994416666667
84,00.42.05-29788,20010713,7,1127,1376,249.0,13.0,"Another factor which might deter Beijing's military adventurism in the Taiwan Strait is Washington's ""readiness to fight Beijing for Taiwan,"" which will bear witness to Washington's determination to remain a power in Asia, according to the magazine.",1.0,1.0,0.263183911335
88,00.31.31-4544,20010715,3,2259,2354,95.0,2.0,Lebatt said the facilitation team expected to draw up a final list of participants by August 6.,1.0,0.0,0.875
89,00.31.31-4544,20010715,4,1600,1743,143.0,5.0,"The young president's father Laurent, assassinated in January, had sidelined Masire after accusing him of being biased in favour of the rebels.",1.0,1.0,0.338215781669
91,00.31.31-4544,20010715,6,1006,1194,188.0,11.0,"Masire said this week he was determined to ""ensure that people from all corners of the country are allowed to express their views"", adding that he wanted to avoid a ""superficial"" exercise.",1.0,1.0,0.308608892473
92,00.31.31-4544,20010715,7,1750,1957,207.0,3.0,"Lebatt told the media conference that deep divergences remained concerning the designation of delegates to represent DRC political parties, and those to represent the parties who signed the Lusaka agreement.",1.0,1.0,0.364232380259
93,00.31.31-4544,20010715,8,1964,2128,164.0,3.0,"""The political players must overcome their divisions by finding a formula for consensus,"" said Lebatt, who is former foreign and cooperation minister of Mauritania.",1.0,0.0,0.0
95,00.31.31-4544,20010715,10,2135,2205,70.0,3.0,"The Lusaka accord merely speaks about ""political opposition"", he said.",1.0,1.0,0.348622421105
96,00.31.31-4544,20010715,11,2361,2516,155.0,2.0,The conflict in the former Zaire broke out when rebels backed by Laurent Kabila's erstwhile allies Rwanda and Uganda launched an insurgency in August 1998.,1.0,0.0,0.0
97,00.31.31-4544,20010715,12,2206,2252,46.0,5.0,"""One must ask 'opposition to whom and what?'.""",1.0,0.0,0.0
98,00.31.31-4544,20010715,13,791,999,208.0,2.0,"Masire's team, which has criss-crossed the former Zaire to prepare for the talks, is currently pursuing its mission in the provinces of Bandundu, Bas-Congo, Equateur, and in the capital Kinshasa, Lebatt said.",1.0,0.0,0.0
99,01.37.46-4752,20010717,0,2,78,76.0,2.0,"Russia favours creation of ""international instruments"" to regulate emissions",1.0,0.0,0.8125
100,01.37.46-4752,20010717,1,659,912,253.0,5.0,"Russia is ""interested in creating international instruments for regulating emissions, which will guarantee the stable economic development of all signatories to international agreements on the climate sphere without any exceptions"", the statement reads.",1.0,0.0,0.92475
101,01.37.46-4752,20010717,2,149,338,189.0,2.0,"Moscow, 16 July: The Russian Foreign Ministry has called for ""taking into account Russia's specific interests"" in working out international documents concerning the regulation of emissions.",1.0,0.0,0.9375
102,01.37.46-4752,20010717,3,913,1156,243.0,6.0,"""The US decision to withdraw from introducing state measures to regulate the emission of greenhouse gases negatively affects the world community's efforts to ensure the global and efficient character of the Kyoto protocol,"" the document reads.",1.0,1.0,0.364102297266
103,01.37.46-4752,20010717,4,339,658,319.0,3.0,"A Foreign Ministry statement in connection with the opening of a conference of the signatories to the UN framework convention on climate change in Bonn reads that taking into account Russia's interests ""is of vital importance from the viewpoint of prospects for the ratification of the Kyoto protocol inside the state"".",1.0,0.0,0.9975
105,00.42.54-29681,20010718,1,568,757,189.0,4.0,"The recall conducted in China in 1999 was purely a precautionary measure and no reports of any incidents in China had been received at that time, China Daily quoted the statement as saying.",1.0,0.0,0.0
107,00.42.54-29681,20010718,3,873,1024,151.0,2.0,"The China Consumers Association said Monday that it had received five complaints of problems related with Benz cars in China, according to China Daily.",1.0,1.0,0.377240679554
109,00.42.54-29681,20010718,5,764,872,108.0,6.0,The exclusion of China from the recall has led to claims that the firm was biased against Chinese customers.,1.0,1.0,0.416265577438
111,23.47.18-27024,20010718,0,1055,1228,173.0,3.0,"According to military experts, it is possible that clashes will resume between the Taleban and UIFSA forces in various regions of Afghanistan in the next few days and weeks.",1.0,0.0,0.0
124,22.41.16-14236,20010813,1,2,265,263.0,2.0,"TEHRAN -- In a meeting with the head of Foreign Ministry's Representative Office in Mashhad, Khorasan Province, Turkmen deputy foreign minister on Sunday, said that new facilities have been provided for issuing visas for Iranians who intend to visit Turkmenistan.",1.0,0.0,0.0
130,23.12.58-1993,20010813,5,640,770,130.0,2.0,"The test, which was carried out in conformity with the rules for such cases, raised suspicions of BSE, which were later confirmed.",1.0,1.0,0.351224080964
131,23.25.24-13030,20010817,0,834,1140,306.0,8.0,"The minister went on to say that although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities.",1.0,1.0,0.283372791841
132,23.25.24-13030,20010817,1,380,590,210.0,3.0,"Chang said after visiting Chinese communities in the United States, New Zealand and Southeast Asia that education and cultural work needs to be further strengthened in the Chinese communities in Southeast Asia.",1.0,0.0,0.0
135,23.25.24-13030,20010817,4,1147,1338,191.0,2.0,"A total of 38 overseas Chinese community leaders from nine Asian and Pacific countries attended the symposium, at which the participants also exchanged views on cross-Taiwan Strait relations.",1.0,0.0,0.0
136,23.25.24-13030,20010817,5,2,211,209.0,2.0,"Taipei, Aug. 17 (CNA) -- The Republic of China [ROC] government will push for Chinese language education among the vast number of Chinese communities in Southeast Asia, a high-ranking ROC official said Friday.",1.0,0.0,0.9375
137,01.09.50-14694,20010818,0,2675,2881,206.0,5.0,"Charges against the MDC leader arose after he allegedly told a crowd at the party's first anniversary last year that ""... Zvatichada, what we would like to tell Mugabe today is that... please go peacefully.",1.0,1.0,0.364232380259
138,01.09.50-14694,20010818,1,2394,2575,181.0,4.0,"If the Supreme Court rules in favour of Mr Tsvangirai, who if convicted on the charges might face life imprisonment, the Attorney General's Office will have to draw up a new charge.",1.0,0.0,0.874666666666
140,01.09.50-14694,20010818,3,2,51,49.0,2.0,MDC leader Tsvangirai at it again in South Africa,1.0,1.0,0.364232380259
141,01.09.50-14694,20010818,4,1488,1547,59.0,4.0,"""If sanctions are imposed on Zimbabwe, it will not survive.",1.0,1.0,0.364128313864
142,01.09.50-14694,20010818,5,2065,2223,158.0,2.0,His trial was set to start at the High Court in May but the case was referred to the High Court after he challenged the legality of LOMA in the Supreme Court.,1.0,1.0,0.377240679554
143,01.09.50-14694,20010818,6,1318,1481,163.0,2.0,"But he opposed any steps that could plunge the country deeper into a recession that has already pushed unemployment, inflation and interest rates above 60 percent.",1.0,1.0,0.377240679554
144,01.09.50-14694,20010818,7,3267,3372,105.0,4.0,"""But anyone who wants to speak the language of violence where Zimbabwe is concerned is playing with fire.",1.0,1.0,0.468298774618
145,01.09.50-14694,20010818,8,240,449,209.0,3.0,"Speaking in an address to the Cape Town Press club, Mr Tsvangirai, who is on a visit to South Africa, was quoted by Reuters as saying he was having to ""rein in militants keen to fight President Mugabe's rule"".",1.0,1.0,0.377240679554
146,01.09.50-14694,20010818,9,1639,1781,142.0,4.0,"""Until such time as Mugabe actually subverts the electoral process - when one goes to that extreme, international sanctions will be an option.",1.0,1.0,0.390248978849
148,01.09.50-14694,20010818,11,3456,3607,151.0,3.0,"""The quickest defeat of Tsvangirai and his MDC lot would come if they chose the path of violence,"" an analyst who spoke on condition of anonymity said.",1.0,1.0,0.348622421105
149,01.09.50-14694,20010818,12,889,1075,186.0,8.0,Mr Tsvangirai endorsed a United States proposal for targeted sanctions against President Mugabe and members of his Government but said full economic sanctions would be a ruinous mistake.,1.0,1.0,0.377240679554
150,01.09.50-14694,20010818,13,3373,3449,76.0,3.0,"Zimbabwe's performance in Mozambique, Somalia and the DRC speaks for itself.",1.0,0.0,0.0
152,01.09.50-14694,20010818,15,1082,1210,128.0,2.0,"The US Congress is set to consider the Zimbabwe Democracy and Economic Recovery Bill, which seeks to impose sanctions on Harare.",1.0,0.0,0.0
153,01.09.50-14694,20010818,16,80,232,152.0,4.0,"OPPOSITION youths are agitating to get guns to ""shoot"" President Mugabe ""out of office,"" MDC leader, Mr Morgan Tsvangirai said in South Africa yesterday",1.0,1.0,0.429273876733
154,01.09.50-14694,20010818,17,1217,1311,94.0,2.0,Mr Tsvangirai called for international action to ensure a free and fair presidential election.,1.0,0.0,0.9375
155,01.09.50-14694,20010818,18,1788,1884,96.0,4.0,"""However, we do support certain limitations on the villains of the crisis in Zimbabwe,"" he said.",1.0,1.0,0.325207482374
156,01.09.50-14694,20010818,19,3162,3260,98.0,4.0,"But analysts expressed concern that the MDC leader is ""flirting with mercenaries in South Africa"".",1.0,1.0,0.38764731899
157,01.09.50-14694,20010818,20,3023,3155,132.0,5.0,The MDC leader also alleged that the Government was trying to provoke protests that could be used as an excuse to suspend democracy.,1.0,1.0,0.455290475323
158,01.09.50-14694,20010818,21,1891,2058,167.0,5.0,Mr Tsvangirai might face charges of contravening the Law and Order Maintenance Act for allegedly threatening to violently remove President Mugabe from power last year.,1.0,1.0,0.377136613159
159,01.09.50-14694,20010818,22,2882,2948,66.0,5.0,"If you don't want to go peacefully, we will remove you violently.""",1.0,1.0,0.429273876733
161,01.09.50-14694,20010818,24,1548,1632,84.0,4.0,"That is why, as MDC, we are reluctant at this stage to endorse the sanctions option.",1.0,1.0,0.338215781669
162,01.09.50-14694,20010818,25,668,882,214.0,8.0,"""...You have people who are 20 years and 30 years (and) below who are asking if we can get guns and go and shoot the man out of office, but I say: Please, that is the most dangerous thing you can ever do,"" he said.",1.0,1.0,0.44207404324
166,23.26.43-14352,20010819,2,284,365,81.0,2.0,The visit is aimed at strengthening military relations between the two countries.,1.0,0.0,0.9375
168,00.59.03-19180,20010828,0,487,598,111.0,2.0,"Earlier Australia's immigration minister, Philip Ruddock, said it was believed the boat was carrying 80 people.",1.0,0.0,0.0
169,00.59.03-19180,20010828,1,2,138,136.0,2.0,Indonesian authorities have been alerted to the presence of another boat believed to be carrying illegal immigrants bound for Australia.,1.0,0.0,0.0
172,00.59.03-19180,20010828,4,302,397,95.0,2.0,Indonesia has notified merchant shipping in the area to check if the boat needs any assistance.,1.0,0.0,0.0
174,01.48.48-11084,20010829,0,2091,2160,69.0,3.0,"To us, parliamentarians still hold a quasi-official status,"" he said.",1.0,0.0,0.0
176,01.48.48-11084,20010829,2,1677,1830,153.0,2.0,Beijing was so worried about the tactic that Chinese Premier Zhu Rongji raised the matter in May with Thai leaders during his official visit to Thailand.,1.0,1.0,0.389208314905
177,01.48.48-11084,20010829,3,1831,1957,126.0,2.0,"He said the number of Thai politicians visiting Taiwan, especially members of Parliament, was increasing at an ""unusual"" rate.",1.0,0.0,-0.96
178,01.48.48-11084,20010829,4,1964,2090,126.0,4.0,"""We disapproved of these visits because no matter in what capacity these people travel, Taiwan treats them as official visits.",1.0,1.0,0.441631761064
179,01.48.48-11084,20010829,5,2,194,192.0,5.0,"China's minister in charge of Taiwan affairs says Beijing will not resort to force to defend Taiwan despite the changing situation on the island, which he described as ""our renegade province"".",1.0,1.0,0.415511096079
180,01.48.48-11084,20010829,6,2768,2848,80.0,2.0,"""I believe less than 10 per cent of Taiwanese now favour independence,"" he said.",1.0,0.0,0.498125
181,01.48.48-11084,20010829,7,507,607,100.0,2.0,"""Weapons cannot prevent Taiwan from reuniting with China,"" he told Thai and Chinese media last week.",1.0,0.0,0.75
182,01.48.48-11084,20010829,8,1505,1670,165.0,4.0,"Nevertheless, Taiwan heightened its diplomatic campaign through what Wang said was ""parliamentarian"" or ""private diplomacy"" to win recognition from Beijing's allies.",1.0,1.0,0.379842339413
183,01.48.48-11084,20010829,9,2855,2999,144.0,2.0,"However, according to broad statistics, Taiwan-born voters favouring independence account for 65 per cent of the island's 23 million population.",1.0,0.0,0.4995
184,01.48.48-11084,20010829,10,3000,3082,82.0,2.0,Wang believes unification will benefit people on both sides of the Taiwan Straits.,1.0,0.0,0.873125
186,01.48.48-11084,20010829,12,1028,1176,148.0,3.0,"At that time, then president Lee Teng-hui demanded political parity by unilaterally redefining bilateral ties as ""special state-to-state"" relations.",1.0,0.0,0.697916666666
187,01.48.48-11084,20010829,13,2167,2305,138.0,3.0,Taiwanese officials in Bangkok always claimed these trips from Thailand to Taiwan were voluntary and initiated by the visitors themselves.,1.0,0.0,0.915416666667
188,01.48.48-11084,20010829,14,201,354,153.0,2.0,"Wang Yi, who made a three-day working visit to Thailand last week, sought to allay fears amongst allies in Asia about its cross-straits ties with Taiwan.",1.0,1.0,0.403257278143
189,01.48.48-11084,20010829,15,614,827,213.0,1.0,"Wang's visit, which will also take in Malaysia, Singapore and Indonesia, comes as pressure mounts on both sides to resume dialogue as Beijing is poised to become a member of the World Trade Organisation next year.",1.0,0.0,0.9975
190,01.48.48-11084,20010829,16,355,500,145.0,3.0,He gave an assurance that the situation would not escalate into war despite the latter's acquisition of offensive weapons from the United States.,1.0,0.0,0.99675
191,01.48.48-11084,20010829,17,2312,2490,178.0,4.0,Wang said Beijing raised no objections to the so-called stop-over tactic used by Taiwanese leaders as long as the visits do not generate political activities in the host country.,1.0,1.0,0.363738064885
192,01.48.48-11084,20010829,18,2497,2630,133.0,3.0,"Despite a still-tense relationship, Wang is optimistic reunification will eventually happen as was the case with Hong Kong and Macau.",1.0,1.0,0.285922418503
193,01.48.48-11084,20010829,19,2631,2761,130.0,3.0,He said the decline in President Chen's popularity could be attributed to the drop in the number of people favouring independence.,1.0,0.0,0.49875
194,01.48.48-11084,20010829,20,879,1021,142.0,4.0,"He said Beijing will maintain its pursuit of peaceful unification with Taiwan and welcomed the resumption of dialogue, bogged down since 1999.",1.0,0.0,0.8421875
195,01.48.48-11084,20010829,21,1183,1332,149.0,3.0,"While President Chen Shui-bian has mellowed his stance on independence, he has refused to bow to the ""one-China policy"", a precondition for dialogue.",1.0,1.0,0.441631761064
196,01.48.48-11084,20010829,22,1339,1498,159.0,3.0,"In his latest speech, Chen said the long-standing dispute with China must be resolved through dialogue with respect to the principles of democracy and freedom.",1.0,0.0,0.8995
201,23.03.25-11609,20010829,4,1116,1328,212.0,4.0,"""We hope that this will serve as an occasion for LG to make inroads into the Central Asian region."" Uzbekistan is the largest country in central Asia with a population of 23 million and rich in natural resources.",1.0,0.0,0.90575
205,01.03.02-16670,20010830,0,414,563,149.0,2.0,"It was the first time that a Taiwan labor group has been invited to participate in a meeting of the ILO, which is an affiliate of the United Nations.",1.0,0.0,0.9375
206,01.03.02-16670,20010830,1,832,980,148.0,2.0,"Lin told CNA that the CFL gained high appraisal in its efforts to protect the rights of Thai, Filipino, Indonesian and Vietnamese workers in Taiwan.",1.0,0.0,0.5
209,01.03.02-16670,20010830,4,987,1173,186.0,5.0,"Taiwan is the only country in Asia that allows foreign laborers to enjoy the same salary levels as their local counterparts, which elevates its image in international society, Lin added.",1.0,0.0,0.88125
210,01.03.02-16670,20010830,5,1712,1874,162.0,3.0,Lin noted that Taiwan is one of the ICFTU founders and that its participation in the ILO can serve as a model for Taiwan to take part in international activities.,1.0,0.0,0.95
211,01.03.02-16670,20010830,6,1367,1541,174.0,2.0,"Recently, Lin added, the Republic of China government was about to eliminate the minimum wage requirement for foreign workers mainly due to pressure from the business sector.",1.0,0.0,0.94375
213,01.03.02-16670,20010830,8,713,825,112.0,2.0,Beijing opposes Taiwan's participation in any international organization in which sovereignty is a prerequisite.,1.0,1.0,0.377240679554
214,01.03.02-16670,20010830,9,1542,1705,163.0,5.0,"However, through the protests of local labor groups, foreign laborers' working rights were protected, bringing extra attention to the power of Taiwan labor groups.",1.0,1.0,0.366834040118
216,01.03.02-16670,20010830,11,1180,1360,180.0,2.0,"He indicated that although Taiwan is not a U.N. member, it has signed two international agreements related to labor affairs and abides by all the regulations stipulated by the ILO.",1.0,0.0,0.0
219,23.55.20-21157,20010831,2,263,548,285.0,2.0,"According to reports received from family members in Rumonge [southwestern Burundi], the fishermen were freed by their kidnappers, the FDD-FNL [Forces for the Defence of Democracy-National Liberation Forces] rebels, who had confused the fishermen's boat to be that of the Burundi army.",1.0,0.0,0.0
221,12.55.04-23296,20010906,1,5158,5290,132.0,2.0,"At the time, the brutality with which this closure was implemented was unheard of, but now we have legal instruments to avoid this.""",1.0,0.0,-0.9
222,12.55.04-23296,20010906,2,409,491,82.0,2.0,"First, his foreign trade minister, Annemie Neyts, has to create the right climate.",1.0,0.0,0.0
223,12.55.04-23296,20010906,3,3483,3592,109.0,5.0,"Moreover, the WTO is a young and small organization, and not a cold monster as some people are depicting it.""",1.0,1.0,0.40055155189
224,12.55.04-23296,20010906,4,5297,5522,225.0,3.0,"""Unfortunately, Renault's Vilvoorde plant did effectively close down, ""but this is a question of overcapacity in the automobile industry."" According to Neyts, many initiatives to alleviate discontent have recently been taken.",1.0,1.0,0.363581965294
225,12.55.04-23296,20010906,5,3303,3355,52.0,2.0,This implies that it would totally liberalize trade.,1.0,1.0,0.36384213128
227,12.55.04-23296,20010906,7,3062,3149,87.0,2.0,"There is no alternative to it but conflict, isolation, nationalism, and ultimately war.",1.0,0.0,-0.8
228,12.55.04-23296,20010906,8,4478,4604,126.0,4.0,"There is an immense gulf between the hype surrounding a summit and its result, which is often worded in illegible conclusions.",1.0,0.0,-0.9
229,12.55.04-23296,20010906,9,2978,3007,29.0,2.0,The situation only got worse.,1.0,0.0,-0.9
230,12.55.04-23296,20010906,10,986,1027,41.0,3.0,"""However, the movement is more than that.",1.0,0.0,0.9495
231,12.55.04-23296,20010906,11,3150,3249,99.0,4.0,"International cooperation is slow and does not function optimally, but the alternatives are worse.""",1.0,0.0,-0.94
232,12.55.04-23296,20010906,12,2890,2977,87.0,1.0,"""In the 1930's, the first reaction to the economic depression was to close all borders.",1.0,0.0,0.0
233,12.55.04-23296,20010906,13,4763,4872,109.0,3.0,"""Therefore, it is a positive development that all 'summits' will be held in Brussels as of 2003,"" Neyts said.",1.0,0.0,0.9
234,12.55.04-23296,20010906,14,2601,2684,83.0,2.0,Neyts is a resolute defender of world trade and the World Trade Organization (WTO).,1.0,0.0,0.87
235,12.55.04-23296,20010906,15,4873,4918,45.0,2.0,"""This will remove the hype surrounding them.""",1.0,0.0,0.9975
236,12.55.04-23296,20010906,16,4653,4756,103.0,2.0,"Closing off a zone by means of containers, as was done in Genoa, is an act of objectionable brutality.""",1.0,0.0,-0.8
238,12.55.04-23296,20010906,18,4014,4108,94.0,3.0,"""There is not one developing country that wants to link social regulations to WTO regulations.",1.0,1.0,0.376980513568
239,12.55.04-23296,20010906,19,1785,1882,97.0,3.0,"But the protesters are not the only ones who are worried about the gulf between north and south.""",1.0,0.0,-0.905
240,12.55.04-23296,20010906,20,810,985,175.0,2.0,"""This is no blind violence but rather targeted violence,"" Annemie Neyts said referring to the antiglobalist movement that set Gothenburg and Genoa, among other cities, ablaze.",1.0,0.0,-0.9
241,12.55.04-23296,20010906,21,4355,4477,122.0,4.0,"""Certain excesses at EU meetings and, above all, at 'summits,' the so-called 'high masses,' sometimes call for a reaction.",1.0,1.0,0.350963914978
242,12.55.04-23296,20010906,22,4288,4354,66.0,3.0,"Neyts rejects all forms of violence, but understands the protests.",1.0,1.0,0.441501678071
243,12.55.04-23296,20010906,23,2401,2508,107.0,2.0,I think that the development debate does not focus enough on political development and political stability.,1.0,0.0,0.984375
244,12.55.04-23296,20010906,24,4247,4281,34.0,2.0,"That is not what it is all about.""",1.0,0.0,-0.9
245,12.55.04-23296,20010906,25,5985,6049,64.0,2.0,"To do this, regulations and a structure like the WTO are needed.",1.0,0.0,-0.9
