positiv,,,,,,,,,,,,,,,,,,,acclamation,noun,strongsubj,anypos,y,positive
positiv,,,,,,,,,,,,,,,,,,,accolade,noun,strongsubj,noun,n,positive
positiv,,active,,,,strong,power,,,,,,,,,,,,accomplish,supv,weaksubj,verb,y,positive
positiv,,active,,,,strong,power,,,,,,,,,,,,accomplishment,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,accord,supv,weaksubj,verb,y,positive
positiv,,,,,,,power,,,,,,,,,,,,accord,supv,weaksubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,accord,ly,weaksubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,accordance,noun,weaksubj,noun,n,positive
,negativ,active,,,hostile,,,,,,,,,,,,,,accost,supv,weaksubj,verb,y,negative
positiv,,,,,,,,,,,,,,,,,,,accountable,modif,weaksubj,adj,n,negative
positiv,,,,,,,,,,,,,,,,,,,accurate,modif,weaksubj,adj,n,positive
,negativ,,,,hostile,,,,,,,,,,,,,,accursed,modif,strongsubj,adj,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,accusation,noun,strongsubj,adj,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,accusation,noun,strongsubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,accuse,modif,strongsubj,verb,y,negative
,negativ,,,,hostile,,,,,,,,,,,,,,accuse,supv,strongsubj,verb,y,negative
,negativ,,passive,,,,,,,,,,,,pain,,,,ache,supv,strongsubj,verb,y,negative
positiv,,active,,,,strong,,,,,,,,,,,,,achieve,supv,weaksubj,verb,y,positive
positiv,,active,,,,,power,,,,,,,,,,,,achievement,noun,weaksubj,anypos,n,positive
positiv,,,,,,,,,,,,,,,,,,,acknowledgement,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,acquit,supv,weaksubj,verb,y,positive
,negativ,,,,hostile,,,,,,,,,,,,,,acrimonious,modif,strongsubj,adj,n,negative
,negativ,,passive,,hostile,,,,,,,,,,,,,,acrimony,noun,strongsubj,noun,n,negative
,,active,,,,strong,,,,,,,,,,,,,active,modif,weaksubj,adj,n,positive
,,active,,,,,,,,,,,,,,,,,active,ly,weaksubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,actual,modif,strongsubj,anypos,n,neutral
positiv,,,,,,,,,,,,,,,,,,,actual,ly,strongsubj,anypos,n,neutral
positiv,,,,,,,,,,,,,,,,,,,actuality,noun,strongsubj,anypos,n,neutral
positiv,,,,,,strong,,,,,,,,,,,,,adamant,modif,strongsubj,adj,n,negative
positiv,,,,,,strong,,,,,,,,,,,,,adaptability,noun,weaksubj,noun,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,adaptable,modif,weaksubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,adaptive,modif,weaksubj,adj,n,positive
,negativ,,,,,,,weak,,,,,,,,,need,,addict,noun,weaksubj,noun,n,negative
,negativ,,,,,,,weak,,,,,,,,,need,,addiction,noun,weaksubj,noun,n,negative
positiv,,,,,,strong,,,,,,,,,,,,,adept,modif,weaksubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,adequate,modif pfreq,weaksubj,adj,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,adherence,noun,weaksubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,adherent,modif,weaksubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,adhesion,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,admirable,modif,strongsubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,admirable,modif,strongsubj,anypos,n,positive
positiv,,,,,,strong,,,,,,,,pleasur,,,,,admiration,noun,strongsubj,noun,n,positive
positiv,,,passive,affil,,,,,submit,,,,,pleasur,,,,,admire,supv,strongsubj,verb,y,positive
positiv,,,,,,strong,,,,,,,,,,,,,admirer,noun,strongsubj,noun,n,positive
,,,passive,,,,,,submit,,,,,,,,,,admission,noun,weaksubj,adj,n,positive
,,,passive,,,,,,submit,,,,,,,,,,admission,noun,weaksubj,noun,n,positive
positiv,,,passive,,,,,weak,submit,,,,,,,,,,admit,supv,strongsubj,verb,y,positive
positiv,,,passive,,,,power,,,,,,,,,,,,admit,supv,strongsubj,verb,y,positive
positiv,,,passive,,,,,weak,submit,,,,,,,,,,admit,ly,strongsubj,verb,y,positive
,negativ,active,,,hostile,strong,power,,,,,,,,,,,,admonish,supv,strongsubj,verb,y,negative
,negativ,active,,,,,,,,,,,,,,,,,admonition,noun,strongsubj,noun,n,negative
positiv,,,,,,,,,,,,,,,,,,,adorable,modif,strongsubj,adj,n,positive
positiv,,active,,,,,,,,,,,,pleasur,,,,,adore,supv,strongsubj,verb,y,positive
positiv,,,,,,strong,,,,,,,,,,,,,adroit,modif,strongsubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,adroitly,modif,strongsubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,pleasur,,,,,adulation,noun,strongsubj,anypos,y,positive
,negativ,,,,,,,,,,,,,,,,,,adulterate,supv,strongsubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,adulteration,noun,strongsubj,noun,n,negative
positiv,,,,,,strong,,,,,,,,,,,,,advantage,noun,weaksubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,advantage,noun,weaksubj,noun,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,advantageous,modif,strongsubj,adj,n,positive
,,active,,,,,,,,,,,,,,,,,adventure,noun,weaksubj,adj,n,positive
,,active,,,,,,,,,,,,,,,,,adventure,noun,weaksubj,noun,n,positive
positiv,,active,,,,strong,,,,,,,,,,,,,adventuresome,modif,strongsubj,noun,n,positive
positiv,,active,,,,strong,,,,,,,,,,,,,adventurous,modif,weaksubj,adj,n,positive
,negativ,,,,hostile,,,,,,,,,,,,,,adversary,noun,weaksubj,noun,y,negative
,negativ,,,,,,,,,,,,,,,,,,adverse,modif,weaksubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,adversity,noun,strongsubj,noun,n,negative
,,,,affil,,,,,,,,,,,,,,,advice,noun,weaksubj,adj,n,positive
,,,,affil,,,,,,,,,,,,,,,advice,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,advisable,modif,weaksubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,advocacy,noun,strongsubj,noun,n,positive
,,active,,,,strong,,,,,,,,,,,,,advocate,noun,strongsubj,verb,y,positive
,,active,,,,strong,power,,,,,,,,,,,,advocate,supv,strongsubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,affability,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,affable,modif,strongsubj,adj,n,positive
,,active,,,,,,,,,,,,,,,,,affect,supv,weaksubj,verb,y,neutral
,negativ,,,,,,,,,,,,,,,,,,affectation,noun,weaksubj,noun,n,negative
positiv,,,,affil,,,,,,,,,,,,,,,affection,noun,strongsubj,adj,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,affection,noun,strongsubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,affectionate,modif,strongsubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,affinity,noun,weaksubj,noun,n,positive
positiv,,,,,,strong,power,,,,,,,,,,,,affirm,supv,strongsubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,affirmation,noun,strongsubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,affirmation,noun,strongsubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,affirmative,noun,weaksubj,noun,n,positive
,negativ,active,,,hostile,strong,,,,,,,,,,,,,afflict,supv,weaksubj,verb,y,negative
,negativ,,passive,,,,,weak,,,,,,,,,,,affliction,noun,weaksubj,noun,n,negative
positiv,,,,,,,,,,,,,,,,,,,affluence,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,affluent,modif,weaksubj,adj,n,positive
,,,,,,strong,,,,,,,,,,,,,afford,supv,weaksubj,verb,y,positive
,,,,,,strong,power,,,,,,,,,,,,afford,supv,weaksubj,verb,y,positive
positiv,,,,,,strong,,,,,,,,,,,,,afloat,modif,weaksubj,adj,n,positive
,,,passive,,,,,,submit,,,,,,pain,,,,afraid,modif pfreq,strongsubj,adj,n,negative
,negativ,,,,,,,weak,,,,negate,,,,,,,afraid,ly,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,against,prep,weaksubj,anypos,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,aggravate,supv,strongsubj,verb,y,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,aggravation,noun,strongsubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,aggression,noun,strongsubj,adj,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,aggression,noun,strongsubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,aggressive,modif pfreq,strongsubj,anypos,y,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,aggressiveness,noun,strongsubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,aggressor,noun,strongsubj,noun,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,aggrieve,supv,strongsubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,aghast,modif,strongsubj,adj,n,negative
positiv,,,,,,strong,,,,,,,,,,,,,agile,modif,weaksubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,agility,noun,weaksubj,noun,n,positive
,negativ,active,,,,strong,,,,,,,,,,,,,agitate,supv,strongsubj,verb,y,negative
,negativ,active,,,,strong,,,,,,,,,,,,,agitation,noun,strongsubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,agitator,noun,strongsubj,noun,n,negative
,negativ,,passive,,,,,,,,,,,,pain,,,,agonize,supv,strongsubj,verb,y,negative
,negativ,,,,,,,,,,,,,,pain,,,,agony,noun,strongsubj,noun,n,negative
,,,,affil,,,,,,yes,,,,,,,,,agree,supv,strongsubj,verb,y,positive
,,,passive,affil,,,,,,,,,,,,,,,agree,modif,strongsubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,agreeable,modif,weaksubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,agreeable,modif,strongsubj,anypos,y,positive
positiv,,,,affil,,strong,,,,,,,,,,,,,agreement,noun,weaksubj,adj,n,positive
positiv,,,,affil,,strong,,,,,,,,,,,,,agreement,noun,weaksubj,noun,n,positive
,negativ,,passive,,,,,,,,,,,,pain,,,,ail,supv,weaksubj,noun,n,negative
,negativ,,passive,,,,,,,,,,,,pain,,,,ail,supv,weaksubj,verb,y,negative
,negativ,,,,,,,,,,,,,,pain,,,,ailment,noun,weaksubj,noun,n,negative
,negativ,,passive,,,,,,submit,,,,,,,,,,aimless,modif,strongsubj,adj,n,negative
,,,,,,strong,,,,,,,,,,,,,air,supv,strongsubj,verb,y,neutral
,,active,,,,,,,,,,,,,,,,,alarm,noun,weaksubj,adj,n,negative
,,active,,,,,,,,,,,,,,,,,alarm,noun,weaksubj,verb,y,negative
,negativ,active,,,,,,,,,,,,,,,,,alarm,supv,weaksubj,adj,n,negative
,negativ,active,,,,,,,,,,,,,,,,,alarm,supv,weaksubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,alarming,modif,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,intrj,,,,,,alas,,strongsubj,anypos,y,negative
,,active,,,,strong,,,,,,,,,,,,,alert,modif,weaksubj,adj,n,neutral
,negativ,,,affil,hostile,,,,,,,,,,,,,,alienate,supv other,weaksubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,alienation,noun,weaksubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,allegation,noun,strongsubj,anypos,n,negative
,negativ,,,,,,,weak,,,,,,,,,,,allege,supv,weaksubj,verb,n,negative
positiv,,active,,affil,,,,,,,,,,,,,,,alleviate,supv,weaksubj,verb,y,positive
positiv,,,,,,strong,power,,,,,,,,,,,,alliance,noun,strongsubj,anypos,n,neutral
positiv,,,passive,,,,power,,,,,,,,,,,,allow,supv pfreq,weaksubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,allowable,modif,weaksubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,allure,noun,strongsubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,allure,noun,strongsubj,noun,n,positive
positiv,,,,affil,,strong,,,,,,,,,,,,,ally,noun,strongsubj,noun,y,positive
,,,,affil,,,,,,,,,,,,,,,ally,supv,strongsubj,noun,y,positive
positiv,,,,,,strong,power,,,,,,,,,,,,almighty,modif,strongsubj,adj,n,positive
,negativ,,passive,,,,,,,,,,,,,feel,,,aloof,modif,strongsubj,adj,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,altercation,noun,weaksubj,noun,n,negative
positiv,,,,affil,,,,,,,,,,,,,,,altruistic,modif,strongsubj,adj,n,positive
positiv,,,,,,strong,power,,,,,,,,,,,,amazement,noun,strongsubj,noun,n,positive
positiv,,,,,,strong,power,,,,,,,,,,,,amazing,modif,strongsubj,adj,n,positive
positiv,,,,,,strong,power,,,,,,,,,,,,amazing,modif,strongsubj,anypos,y,positive
,negativ,,,,,,,,,,,,,,,,,,ambiguity,noun,strongsubj,noun,n,negative
,negativ,,,,,,,,,,,,,,,,,,ambiguous,modif,strongsubj,adj,n,negative
,,active,,,,strong,power,,,,,,,,,,,,ambitious,modif,weaksubj,adj,n,positive
,,active,,,,strong,power,,,,,,,,,,,,ambitious,modif,weaksubj,noun,n,positive
,negativ,,,,,,,weak,,,,,,,pain,,,,ambivalent,modif,strongsubj,adj,n,negative
,negativ,,,,,,,weak,,,,,,,pain,,,,ambivalent,modif,strongsubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,ambush,noun,weaksubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,ambush,noun,weaksubj,verb,y,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,ambush,supv,weaksubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,ambush,supv,weaksubj,verb,y,negative
positiv,,active,,affil,,,,,,,,,,,,,,,ameliorate,supv,strongsubj,verb,y,positive
positiv,,,,affil,,,,,,,,,,,,,,,amenable,modif,strongsubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,amenity,noun,weaksubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,amiability,noun,strongsubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,amiable,modif,strongsubj,adj,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,amicable,modif,strongsubj,adj,n,positive
,negativ,,,,,,,,,,,,,,,,,,amiss,ly,strongsubj,anypos,n,negative
positiv,,,,,,,power,,,,,,,,,,,,amnesty,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,pleasur,,,,,amour,noun,strongsubj,noun,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,ample,modif,weaksubj,adj,n,positive
positiv,,active,,,,strong,,,,,,,,,,,,,amplify,supv,weaksubj,verb,y,neutral
positiv,,,,,,strong,,,,,,,,,,,,,amply,modif,weaksubj,adverb,n,positive
,negativ,active,,,,,,,,,,,,,,,,,amputate,supv,weaksubj,verb,y,negative
positiv,,active,,,,,,,,,,,,pleasur,,,,,amuse,supv,strongsubj,verb,y,positive
positiv,,,,,,,,,,,,,,pleasur,,,,,amusement,noun,strongsubj,adj,n,positive
positiv,,,,,,,,,,,,,,pleasur,,,,,amusement,noun,strongsubj,noun,n,positive
,,active,,,,,,,,,,,,,,,,,analytical,modif,weaksubj,adj,n,neutral
,negativ,,,,hostile,,,,,,,,,,,,,,anarchist,noun,strongsubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,anarchy,noun,strongsubj,noun,n,negative
positiv,,,,affil,,,,,,,,,,,,,,,angel,noun,weaksubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,angelic,modif,strongsubj,adj,n,positive
,negativ,active,,,hostile,,,,,,,,,,,,,,anger,noun pfreq,strongsubj,adj,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,anger,noun pfreq,strongsubj,noun,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,anger,noun pfreq,strongsubj,verb,y,negative
,negativ,,,,hostile,,,,,,,,,,,,,,anger,supv,strongsubj,adj,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,anger,supv,strongsubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,anger,supv,strongsubj,verb,y,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,angry,modif,strongsubj,adj,n,negative
,negativ,,passive,,hostile,,,,,,,,,,pain,,,,anguish,noun,strongsubj,noun,n,negative
,negativ,,passive,,hostile,,,,,,,,,,pain,,,,anguish,noun,strongsubj,verb,y,negative
,negativ,,,,hostile,,,,,,,,,,,,,,animosity,noun,strongsubj,noun,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,annihilate,supv,strongsubj,verb,y,negative
,negativ,,,,hostile,,,,,,,,,,,,,,annihilation,noun,strongsubj,noun,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,annoy,supv other,strongsubj,verb,y,negative
,negativ,,,,hostile,,,,,,,,,,,,,,annoyance,noun,strongsubj,noun,n,negative
,negativ,,,,,,,,,,,,,,,,,,anomalous,modif,weaksubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,anomaly,noun,weaksubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,antagonism,noun,strongsubj,noun,n,negative
,negativ,,,,hostile,,,,,,,,,,,,,,antagonist,noun,weaksubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,antagonistic,modif,strongsubj,adj,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,antagonize,supv,strongsubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,anti-social,modif,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,feel,,,antipathy,noun,strongsubj,noun,n,negative
,negativ,,,,,,,weak,,,,,,,,,,,antiquated,modif,strongsubj,adj,n,negative
,negativ,,passive,,,,,weak,,,,,,,pain,,,,anxiety,noun,strongsubj,noun,n,negative
,negativ,,passive,,,,,weak,,,,,,,pain,,,,anxious,modif,strongsubj,anypos,n,negative
,negativ,,passive,,,,,weak,,,,,,,pain,,,,anxious,modif,strongsubj,anypos,n,negative
,negativ,,passive,,,,,weak,,,,,,,pain,,,,anxiousness,noun,strongsubj,noun,n,negative
,negativ,,passive,,,,,weak,,,,,,,,feel,,,apathetic,modif,strongsubj,adj,n,negative
,negativ,,passive,,,,,weak,,,,,,,,feel,,,apathetic,modif,strongsubj,noun,n,negative
,negativ,,passive,,,,,weak,,,,,,,,feel,,,apathy,noun,strongsubj,noun,n,negative
positiv,,,,,,,,,,,,,,pleasur,,,,,apocalypse,noun,strongsubj,noun,n,negative
,negativ,,,,,,,,,,,,,,,,,,appall,modif,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,appall,modif,strongsubj,anypos,y,negative
,negativ,,,,,,,,,,,,,,,,,,appall,modif,strongsubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,appall,supv,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,appall,supv,strongsubj,anypos,y,negative
,negativ,,,,,,,,,,,,,,,,,,appall,supv,strongsubj,verb,y,negative
,,,passive,affil,,,,,submit,,,,,,,,,,appeal,noun,weaksubj,adj,n,positive
,,,passive,affil,,,,,submit,,,,,,,,,,appeal,noun,weaksubj,noun,n,positive
,,,passive,affil,,,,,submit,,,,,,,,,,appeal,noun,weaksubj,verb,y,positive
,,,passive,affil,,,,,submit,,,,,,,,,,appeal,supv,weaksubj,adj,n,positive
,,,passive,affil,,,,,submit,,,,,,,,,,appeal,supv,weaksubj,noun,n,positive
,,,passive,affil,,,,,submit,,,,,,,,,,appeal,supv,weaksubj,verb,y,positive
positiv,,,passive,affil,,,,,,,,,,pleasur,,,,,appeal,modif,weaksubj,adj,n,positive
positiv,,,passive,affil,,,,,,,,,,pleasur,,,,,appeal,modif,weaksubj,noun,n,positive
positiv,,,passive,affil,,,,,,,,,,pleasur,,,,,appeal,modif,weaksubj,verb,y,positive
,,,passive,,,,,,,,,,,,,,,,appear,supv verb link,weaksubj,anypos,y,neutral
,,,passive,,,,,,,,,,,,,,,,appear,supv,weaksubj,anypos,y,neutral
,,,passive,,,,,,,,,,,,,,,,appearance,noun,weaksubj,adj,n,neutral
,,,passive,,,,,,,,,,,,,,,,appearance,noun,weaksubj,noun,n,neutral
positiv,,active,,,,,,,submit,,,,,,,,,,appease,supv other,weaksubj,verb,y,positive
positiv,,active,,,,,,,,,,,,,,,,,applaud,supv,strongsubj,verb,y,positive
positiv,,,,,,strong,,,,,,,,,,,,,appreciable,modif,weaksubj,adj,n,positive
positiv,,,passive,affil,,,,,submit,,,,,,,,,,appreciate,supv,strongsubj,verb,y,positive
positiv,,,passive,affil,,,,,,,,,,pleasur,,,,,appreciation,noun,strongsubj,adj,n,positive
positiv,,,passive,affil,,,,,,,,,,pleasur,,,,,appreciation,noun,strongsubj,noun,n,positive
positiv,,,,,,,,,,,,,,pleasur,,,,,appreciative,modif,strongsubj,anypos,n,positive
positiv,,active,,,,,,,,,,,,,,,,,apprehend,supv other,weaksubj,verb,y,neutral
,negativ,active,,,,strong,,,,,,,,,pain,,,,apprehension,noun,strongsubj,noun,n,negative
,negativ,,passive,,,,,weak,,,,,,,pain,,,,apprehensive,modif,strongsubj,adj,n,negative
,negativ,,passive,,,,,weak,,,,,,,pain,,,,apprehensive,modif,strongsubj,noun,n,negative
positiv,,,,,,,,,,,,,,,,,,,appropriate,modif,weaksubj,adj,n,positive
,,,,,,strong,power,,,,,,,,,,,,appropriate,supv,weaksubj,adj,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,approval,noun,weaksubj,noun,n,positive
positiv,,,,affil,,,,,,,,,,,,,,,approve,modif,weaksubj,verb,y,positive
positiv,,,,affil,,strong,,,,,,,,,,,,,approve,supv,weaksubj,verb,y,positive
positiv,,,,,,strong,,,,,,,,,,,,,apt,modif,weaksubj,adj,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,aptitude,noun,weaksubj,noun,n,positive
,negativ,,,,,,,,,,,,,,,,,,arbitrary,modif,strongsubj,adj,n,negative
positiv,,,,affil,,strong,power,,,,,,,,,,,,ardent,modif,strongsubj,adj,n,positive
,negativ,,,,,,,,,,,,,,,,,,arduous,modif,strongsubj,adj,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,argue,supv,strongsubj,verb,y,negative
,,active,,,,,,,,,,,,,,,,,argue,supv,strongsubj,verb,y,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,argument,noun,weaksubj,adj,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,argument,noun,weaksubj,noun,n,negative
,,active,,,,,,,,,,,,,,,,,argument,noun,weaksubj,adj,n,negative
,,active,,,,,,,,,,,,,,,,,argument,noun,weaksubj,noun,n,negative
positiv,,,,,,,power,,,,,,,,,,,,aristocratic,modif,weaksubj,adj,n,positive
,negativ,,,,,,power,,,,,,,,,,,,arrogance,noun,strongsubj,noun,n,negative
,negativ,,,,,strong,,,,,,,,,,,,,arrogant,modif,strongsubj,adj,n,negative
,negativ,,,,,strong,,,,,,,,,,,,,arrogant,modif,strongsubj,anypos,y,negative
,,active,,,,strong,,,,,,,,,,,,,articulate,modif supv,strongsubj,adj,n,positive
