docName,dirName,idx,type,startByte,endByte,wordLen,text,intensity,polarity,expression-intensity,attitude-type,attitude-uncertain
00.48.42-17806,20010630,161,GATE_direct-subjective,2703,2710,7.0,decided,low,neutral,low,,
00.48.42-17806,20010630,32,GATE_expressive-subjectivity,4104,4132,28.0,would surely be higher still,medium,negative,,,
00.48.42-17806,20010630,159,GATE_expressive-subjectivity,4457,4483,26.0,easier and more motivating,medium,positive,,,
00.48.42-17806,20010630,30,GATE_direct-subjective,2285,2304,19.0,will now be talking,neutral,,neutral,,
00.48.42-17806,20010630,26,GATE_expressive-subjectivity,2835,2870,35.0,is of course a part of the equation,low,neutral,,,
00.48.42-17806,20010630,20,GATE_expressive-subjectivity,2328,2367,39.0,integral part of the successful formula,medium,positive,,,
00.48.42-17806,20010630,10,GATE_direct-subjective,2507,2509,2.0,We,medium,,,,
00.48.42-17806,20010630,6,GATE_direct-subjective,4011,4015,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,4,GATE_direct-subjective,2083,2100,17.0,expect to support,low,uncertain-neutral,low,,
00.48.42-17806,20010630,0,GATE_expressive-subjectivity,2990,3003,13.0,The fact that,low,neutral,,,
01.24.22-5235,20010705,37,GATE_direct-subjective,594,607,13.0,had forbidden,high,negative,high,,
01.24.22-5235,20010705,22,GATE_direct-subjective,268,274,6.0,though,low,neutral,low,,
01.24.22-5235,20010705,16,GATE_attitude,268,327,59.0,though that the animal was suffering from some intoxication,low,,,arguing-pos,somewhat-uncertain
01.24.22-5235,20010705,15,GATE_attitude,594,607,13.0,had forbidden,high,,,agree-neg,very-uncertain
01.24.22-5235,20010705,13,GATE_expressive-subjectivity,295,327,32.0,suffering from some intoxication,medium,negative,,,
02.01.27-21386,20010706,39,GATE_direct-subjective,722,726,4.0,said,neutral,,neutral,,
02.01.27-21386,20010706,35,GATE_direct-subjective,445,449,4.0,said,neutral,,neutral,,
02.01.27-21386,20010706,14,GATE_expressive-subjectivity,373,389,16.0,far from perfect,medium,negative,,,
02.01.27-21386,20010706,13,GATE_expressive-subjectivity,394,401,7.0,perhaps,low,neutral,,,
02.01.27-21386,20010706,12,GATE_expressive-subjectivity,408,422,14.0,even less than,low,neutral,,,
02.01.27-21386,20010706,10,GATE_direct-subjective,671,686,15.0,seriously needs,medium,neutral,medium,,
02.01.27-21386,20010706,8,GATE_expressive-subjectivity,671,680,9.0,seriously,low,neutral,,,
02.01.27-21386,20010706,7,GATE_attitude,370,389,19.0,is far from perfect,medium,,,sentiment-neg,
02.01.27-21386,20010706,5,GATE_attitude,394,434,40.0,perhaps seize even less than 10 per cent,low-medium,,,speculation,
02.01.27-21386,20010706,3,GATE_attitude,671,686,15.0,seriously needs,high,,,other-attitude,somewhat-uncertain
02.01.27-21386,20010706,0,GATE_attitude,671,716,45.0,seriously needs equipment for detecting drugs,high,,,arguing-pos,
05.19.38-789,20010707,64,GATE_attitude,1004,1043,39.0,accused the other of backing dissidents,high,,,arguing-pos,
05.19.38-789,20010707,63,GATE_attitude,1004,1043,39.0,accused the other of backing dissidents,medium-high,,,sentiment-neg,
05.19.38-789,20010707,61,GATE_attitude,1025,1032,7.0,backing,low-medium,,,sentiment-pos,
05.19.38-789,20010707,60,GATE_attitude,1025,1032,7.0,backing,low-medium,,,sentiment-pos,
05.19.38-789,20010707,59,GATE_attitude,902,968,66.0,alleged support for a rival to Museveni in a presidential election,low,,,arguing-pos,
05.19.38-789,20010707,56,GATE_attitude,910,921,11.0,support for,low-medium,,,sentiment-pos,
05.19.38-789,20010707,54,GATE_attitude,827,859,32.0,declared Rwanda a hostile nation,medium-high,,,sentiment-neg,
05.19.38-789,20010707,53,GATE_attitude,535,551,16.0,mounting rivalry,medium-high,,,other-attitude,very-uncertain
05.19.38-789,20010707,51,GATE_attitude,406,414,8.0,fell out,medium,,,sentiment-neg,
05.19.38-789,20010707,50,GATE_attitude,150,174,24.0,soured relations between,medium-high,,,sentiment-neg,
05.19.38-789,20010707,48,GATE_attitude,150,174,24.0,soured relations between,medium-high,,,sentiment-neg,
05.19.38-789,20010707,20,GATE_expressive-subjectivity,843,859,16.0,a hostile nation,medium,negative,,,
05.19.38-789,20010707,19,GATE_direct-subjective,1025,1032,7.0,backing,low,positive,low,,
05.19.38-789,20010707,18,GATE_direct-subjective,994,1011,17.0,have each accused,high,negative,high,,
05.19.38-789,20010707,17,GATE_direct-subjective,994,1011,17.0,have each accused,high,negative,high,,
05.19.38-789,20010707,16,GATE_direct-subjective,902,909,7.0,alleged,low,neutral,low,,
05.19.38-789,20010707,15,GATE_direct-subjective,910,917,7.0,support,medium,positive,medium,,
05.19.38-789,20010707,14,GATE_direct-subjective,1025,1032,7.0,backing,low,positive,low,,
05.19.38-789,20010707,13,GATE_direct-subjective,150,174,24.0,soured relations between,medium,negative,medium,,
05.19.38-789,20010707,5,GATE_direct-subjective,406,414,8.0,fell out,medium,negative,medium,,
05.19.38-789,20010707,4,GATE_direct-subjective,535,551,16.0,mounting rivalry,medium,negative,medium,,
05.19.38-789,20010707,3,GATE_direct-subjective,827,835,8.0,declared,neutral,,neutral,,
05.19.38-789,20010707,2,GATE_direct-subjective,150,174,24.0,soured relations between,medium,negative,medium,,
05.19.38-789,20010707,1,GATE_attitude,910,932,22.0,support for a rival to,low,,,sentiment-neg,
00.42.05-29788,20010713,119,GATE_expressive-subjectivity,1765,1773,8.0,threaten,high,negative,,,
00.42.05-29788,20010713,113,GATE_attitude,1521,1602,81.0,"could trigger a defection of its Asian allies, including Japan, to Beijing's fold",low-medium,,,speculation,
00.42.05-29788,20010713,111,GATE_expressive-subjectivity,342,350,8.0,unlikely,medium,neutral,,,
00.42.05-29788,20010713,105,GATE_expressive-subjectivity,1058,1063,5.0,might,medium,neutral,,,
00.42.05-29788,20010713,103,GATE_expressive-subjectivity,768,785,17.0,bowed to pressure,medium,negative,,,
00.42.05-29788,20010713,99,GATE_attitude,122,195,73.0,will become totally dependent on mainland China within the next few years,medium,,,arguing-pos,
00.42.05-29788,20010713,97,GATE_attitude,1275,1348,73.0,will bear witness to Washington's determination to remain a power in Asia,low-medium,,,arguing-pos,
00.42.05-29788,20010713,93,GATE_direct-subjective,1810,1817,7.0,claimed,low,neutral,low,,
00.42.05-29788,20010713,91,GATE_attitude,2102,2124,22.0,a dangerous flashpoint,medium-high,,,sentiment-neg,
00.42.05-29788,20010713,89,GATE_attitude,1632,1668,36.0,are not likely to blink on the issue,low,,,speculation,
00.42.05-29788,20010713,83,GATE_expressive-subjectivity,1471,1474,3.0,any,low,neutral,,,
00.42.05-29788,20010713,81,GATE_expressive-subjectivity,239,257,18.0,own political fate,medium,neutral,,,
00.42.05-29788,20010713,75,GATE_expressive-subjectivity,1148,1153,5.0,might,low,neutral,,,
00.42.05-29788,20010713,73,GATE_attitude,768,810,42.0,bowed to pressure from its own businessmen,low,,,sentiment-neg,very-uncertain
00.42.05-29788,20010713,67,GATE_attitude,1475,1486,11.0,concessions,low,,,agree-pos,somewhat-uncertain
00.42.05-29788,20010713,63,GATE_direct-subjective,640,644,4.0,said,neutral,,neutral,,
00.42.05-29788,20010713,55,GATE_attitude,1127,1214,87.0,Another factor which might deter Beijing's military adventurism in the Taiwan Strait is,low,,,speculation,
00.42.05-29788,20010713,51,GATE_attitude,1834,1853,19.0,there is only scant,low-medium,,,arguing-pos,
00.42.05-29788,20010713,49,GATE_attitude,1058,1119,61.0,might bring the island to its knees without firing one bullet,low,,,speculation,
00.42.05-29788,20010713,45,GATE_expressive-subjectivity,1825,1833,8.0,Although,low,neutral,,,
00.42.05-29788,20010713,25,GATE_expressive-subjectivity,1333,1340,7.0,a power,medium,uncertain-positive,,,
00.42.05-29788,20010713,19,GATE_direct-subjective,879,887,8.0,expected,medium,neutral,medium,,
00.42.05-29788,20010713,15,GATE_direct-subjective,1459,1465,6.0,saying,neutral,,neutral,,
00.42.05-29788,20010713,11,GATE_attitude,197,257,60.0,causing the island to lose control of its own political fate,medium-high,,,sentiment-neg,
00.42.05-29788,20010713,9,GATE_attitude,1537,1546,9.0,defection,medium,,,agree-neg,very-uncertain
00.42.05-29788,20010713,132,GATE_direct-subjective,573,582,9.0,are eager,medium,positive,medium,,
00.42.05-29788,20010713,3,GATE_attitude,879,944,65.0,expected to speed up the flow of Taiwan capital to its arch rival,low,,,other-attitude,
00.42.05-29788,20010713,1,GATE_expressive-subjectivity,1170,1190,20.0,military adventurism,high,negative,,,
00.42.05-29788,20010713,128,GATE_attitude,1309,1325,16.0,determination to,medium-high,,,intention-pos,
00.42.05-29788,20010713,126,GATE_expressive-subjectivity,1521,1534,13.0,could trigger,medium,uncertain-neutral,,,
00.42.05-29788,20010713,124,GATE_expressive-subjectivity,219,231,12.0,lose control,medium,negative,,,
00.42.05-29788,20010713,122,GATE_expressive-subjectivity,2029,2066,37.0,most heavily armed place in the world,medium,negative,,,
00.42.05-29788,20010713,118,GATE_attitude,2001,2144,143.0,"still makes the region ""the most heavily armed place in the world next only to the Middle East,"" and a dangerous flashpoint in the 21st century",medium-high,,,arguing-pos,
00.42.05-29788,20010713,116,GATE_attitude,1229,1241,12.0,readiness to,medium,,,sentiment-pos,
00.42.05-29788,20010713,108,GATE_direct-subjective,275,281,6.0,warned,high,negative,high,,
00.42.05-29788,20010713,100,GATE_attitude,768,776,8.0,bowed to,low,,,other-attitude,
00.42.05-29788,20010713,98,GATE_direct-subjective,777,790,13.0,pressure from,low,uncertain-neutral,low,,
00.42.05-29788,20010713,96,GATE_direct-subjective,1934,1938,4.0,said,neutral,,neutral,,
00.42.05-29788,20010713,92,GATE_attitude,339,375,36.0,is unlikely to annex Taiwan by force,low,,,speculation,
00.42.05-29788,20010713,90,GATE_attitude,573,585,12.0,are eager to,medium,,,sentiment-pos,
00.42.05-29788,20010713,88,GATE_direct-subjective,1350,1359,9.0,according,low,neutral,low,,
00.42.05-29788,20010713,86,GATE_expressive-subjectivity,377,384,7.0,despite,low,neutral,,,
00.42.05-29788,20010713,84,GATE_direct-subjective,321,325,4.0,said,neutral,,neutral,,
00.42.05-29788,20010713,80,GATE_expressive-subjectivity,1636,1655,19.0,not likely to blink,high,neutral,,,
00.42.05-29788,20010713,74,GATE_direct-subjective,1038,1044,6.0,saying,neutral,,neutral,,
00.42.05-29788,20010713,68,GATE_direct-subjective,1229,1247,18.0,readiness to fight,high,uncertain-both,high,,
00.42.05-29788,20010713,64,GATE_attitude,1229,1259,30.0,readiness to fight Beijing for,medium-high,,,sentiment-pos,
00.42.05-29788,20010713,62,GATE_expressive-subjectivity,1275,1292,17.0,will bear witness,medium,positive,,,
00.42.05-29788,20010713,56,GATE_direct-subjective,1537,1546,9.0,defection,medium,uncertain-neutral,medium,,
00.42.05-29788,20010713,52,GATE_expressive-subjectivity,2104,2124,20.0,dangerous flashpoint,high,negative,,,
00.42.05-29788,20010713,50,GATE_expressive-subjectivity,1715,1726,11.0,would boost,medium,negative,,,
00.42.05-29788,20010713,44,GATE_direct-subjective,1309,1322,13.0,determination,medium,uncertain-neutral,medium,,
00.42.05-29788,20010713,42,GATE_expressive-subjectivity,134,151,17.0,totally dependent,high,negative,,,
00.42.05-29788,20010713,36,GATE_direct-subjective,1475,1486,11.0,concessions,low,neutral,low,,
00.42.05-29788,20010713,34,GATE_attitude,777,813,36.0,pressure from its own businessmen to,medium,,,sentiment-pos,
00.42.05-29788,20010713,32,GATE_expressive-subjectivity,934,944,10.0,arch rival,high,uncertain-neutral,,,
00.42.05-29788,20010713,30,GATE_expressive-subjectivity,1081,1093,12.0,to its knees,high,negative,,,
00.42.05-29788,20010713,24,GATE_attitude,1715,1795,80.0,would boost the schisms in Tibet and Xinjiang and threaten the regime in Beijing,medium,,,sentiment-neg,
00.42.05-29788,20010713,22,GATE_expressive-subjectivity,1610,1613,3.0,But,low,neutral,,,
00.42.05-29788,20010713,20,GATE_expressive-subjectivity,1843,1865,22.0,only scant possibility,high,neutral,,,
00.42.05-29788,20010713,18,GATE_expressive-subjectivity,891,899,8.0,speed up,medium,uncertain-neutral,,,
00.42.05-29788,20010713,16,GATE_expressive-subjectivity,952,959,7.0,Barring,low,neutral,,,
00.42.05-29788,20010713,12,GATE_direct-subjective,768,776,8.0,bowed to,low,uncertain-neutral,low,,
00.42.05-29788,20010713,8,GATE_expressive-subjectivity,534,541,7.0,to heel,medium,negative,,,
00.42.05-29788,20010713,2,GATE_attitude,1309,1325,16.0,determination to,medium-high,,,sentiment-pos,
00.42.05-29788,20010713,129,GATE_expressive-subjectivity,1676,1683,7.0,because,low,neutral,,,
00.42.05-29788,20010713,0,GATE_expressive-subjectivity,485,500,15.0,smarter tactics,high,uncertain-neutral,,,
00.31.31-4544,20010715,115,GATE_direct-subjective,1690,1698,8.0,accusing,medium,negative,medium,,
00.31.31-4544,20010715,111,GATE_attitude,1116,1135,19.0,express their views,low,,,arguing-pos,
00.31.31-4544,20010715,109,GATE_expressive-subjectivity,1074,1100,26.0,all corners of the country,low,neutral,,,
00.31.31-4544,20010715,105,GATE_attitude,2211,2248,37.0,must ask 'opposition to whom and what,medium,,,arguing-pos,
00.31.31-4544,20010715,101,GATE_attitude,2416,2422,6.0,backed,medium,,,sentiment-pos,
00.31.31-4544,20010715,99,GATE_attitude,1031,1048,17.0,was determined to,medium-high,,,sentiment-pos,
00.31.31-4544,20010715,95,GATE_attitude,1987,2051,64.0,must overcome their divisions by finding a formula for consensus,medium-high,,,arguing-pos,
00.31.31-4544,20010715,89,GATE_attitude,2153,2194,41.0,"merely speaks about ""political opposition",low,,,sentiment-neg,
00.31.31-4544,20010715,85,GATE_attitude,1153,1168,15.0,wanted to avoid,medium,,,sentiment-neg,
00.31.31-4544,20010715,75,GATE_direct-subjective,1031,1045,14.0,was determined,medium,neutral,medium,,
00.31.31-4544,20010715,73,GATE_attitude,1788,1824,36.0,deep divergences remained concerning,medium,,,arguing-pos,
00.31.31-4544,20010715,67,GATE_attitude,1690,1742,52.0,accusing him of being biased in favour of the rebels,medium-high,,,sentiment-neg,
00.31.31-4544,20010715,63,GATE_expressive-subjectivity,2207,2248,41.0,One must ask 'opposition to whom and what,low,neutral,,,
00.31.31-4544,20010715,61,GATE_direct-subjective,1113,1135,22.0,to express their views,medium,neutral,medium,,
00.31.31-4544,20010715,51,GATE_attitude,2293,2304,11.0,expected to,low,,,other-attitude,
00.31.31-4544,20010715,49,GATE_attitude,1706,1731,25.0,being biased in favour of,low-medium,,,sentiment-pos,
00.31.31-4544,20010715,41,GATE_direct-subjective,1706,1731,25.0,being biased in favour of,medium,positive,medium,,
00.31.31-4544,20010715,39,GATE_expressive-subjectivity,1169,1193,24.0,"a ""superficial"" exercise",low,negative,,,
00.31.31-4544,20010715,33,GATE_direct-subjective,899,906,7.0,mission,low,neutral,low,,
00.31.31-4544,20010715,27,GATE_direct-subjective,2207,2210,3.0,One,low,,,,
00.31.31-4544,20010715,13,GATE_direct-subjective,1153,1159,6.0,wanted,medium,positive,medium,,
00.31.31-4544,20010715,9,GATE_attitude,2216,2219,3.0,ask,low,,,other-attitude,
00.31.31-4544,20010715,7,GATE_direct-subjective,2293,2301,8.0,expected,low,positive,low,,
00.31.31-4544,20010715,120,GATE_direct-subjective,1757,1761,4.0,told,neutral,,neutral,,
00.31.31-4544,20010715,102,GATE_expressive-subjectivity,1987,2000,13.0,must overcome,medium,neutral,,,
00.31.31-4544,20010715,86,GATE_attitude,1031,1048,17.0,was determined to,medium-high,,,intention-pos,
00.31.31-4544,20010715,56,GATE_expressive-subjectivity,1788,1804,16.0,deep divergences,medium,negative,,,
00.31.31-4544,20010715,40,GATE_direct-subjective,2416,2422,6.0,backed,low,neutral,low,,
00.31.31-4544,20010715,36,GATE_expressive-subjectivity,1050,1056,6.0,ensure,low,neutral,,,
00.31.31-4544,20010715,34,GATE_attitude,1153,1162,9.0,wanted to,medium,,,sentiment-pos,
00.31.31-4544,20010715,28,GATE_direct-subjective,2054,2058,4.0,said,neutral,,neutral,,
00.31.31-4544,20010715,26,GATE_expressive-subjectivity,2153,2166,13.0,merely speaks,low,negative,,,
00.31.31-4544,20010715,24,GATE_attitude,899,906,7.0,mission,low-medium,,,intention-pos,somewhat-uncertain
00.31.31-4544,20010715,8,GATE_attitude,1690,1742,52.0,accusing him of being biased in favour of the rebels,medium-high,,,arguing-pos,
00.31.31-4544,20010715,4,GATE_direct-subjective,2216,2219,3.0,ask,low,neutral,low,,
00.31.31-4544,20010715,2,GATE_direct-subjective,2200,2204,4.0,said,neutral,,neutral,,
01.37.46-4752,20010717,50,GATE_attitude,921,932,11.0,decision to,medium,,,intention-pos,
01.37.46-4752,20010717,35,GATE_attitude,834,847,13.0,agreements on,medium,,,agree-pos,
01.37.46-4752,20010717,34,GATE_direct-subjective,1150,1155,5.0,reads,neutral,,neutral,,
01.37.46-4752,20010717,30,GATE_attitude,195,209,14.0,has called for,medium,,,sentiment-pos,
01.37.46-4752,20010717,27,GATE_expressive-subjectivity,1019,1029,10.0,negatively,medium,negative,,,
01.37.46-4752,20010717,24,GATE_attitude,542,656,114.0,is of vital importance from the viewpoint of prospects for the ratification of the Kyoto protocol inside the state,medium,,,arguing-pos,
01.37.46-4752,20010717,22,GATE_attitude,666,683,17.0,"is ""interested in",medium,,,sentiment-pos,
01.37.46-4752,20010717,21,GATE_direct-subjective,9,16,7.0,favours,medium,positive,medium,,
01.37.46-4752,20010717,20,GATE_direct-subjective,921,929,8.0,decision,low,neutral,low,,
01.37.46-4752,20010717,16,GATE_attitude,9,16,7.0,favours,low-medium,,,sentiment-pos,
01.37.46-4752,20010717,12,GATE_attitude,751,889,138.0,will guarantee the stable economic development of all signatories to international agreements on the climate sphere without any exceptions,medium,,,arguing-pos,
01.37.46-4752,20010717,11,GATE_direct-subjective,195,209,14.0,has called for,low,positive,low,,
01.37.46-4752,20010717,9,GATE_direct-subjective,666,680,14.0,"is ""interested",medium,positive,medium,,
01.37.46-4752,20010717,8,GATE_expressive-subjectivity,545,564,19.0,of vital importance,high,neutral,,,
01.37.46-4752,20010717,7,GATE_direct-subjective,820,844,24.0,international agreements,low,neutral,low,,
01.37.46-4752,20010717,5,GATE_direct-subjective,491,496,5.0,reads,neutral,,neutral,,
01.37.46-4752,20010717,4,GATE_attitude,1019,1134,115.0,negatively affects the world community's efforts to ensure the global and efficient character of the Kyoto protocol,medium,,,sentiment-neg,
01.37.46-4752,20010717,2,GATE_attitude,1019,1134,115.0,negatively affects the world community's efforts to ensure the global and efficient character of the Kyoto protocol,medium,,,arguing-pos,
00.42.54-29681,20010718,43,GATE_expressive-subjectivity,610,616,6.0,purely,low,neutral,,,
00.42.54-29681,20010718,38,GATE_direct-subjective,747,756,9.0,as saying,neutral,,neutral,,
00.42.54-29681,20010718,37,GATE_direct-subjective,943,956,13.0,complaints of,medium,negative,medium,,
00.42.54-29681,20010718,33,GATE_direct-subjective,835,853,18.0,was biased against,medium,negative,medium,,
00.42.54-29681,20010718,24,GATE_direct-subjective,814,820,6.0,claims,low,negative,low,,
00.42.54-29681,20010718,21,GATE_expressive-subjectivity,619,640,21.0,precautionary measure,low,neutral,,,
00.42.54-29681,20010718,11,GATE_expressive-subjectivity,839,845,6.0,biased,medium,negative,,,
00.42.54-29681,20010718,8,GATE_attitude,606,640,34.0,was purely a precautionary measure,low-medium,,,arguing-pos,
00.42.54-29681,20010718,6,GATE_attitude,814,871,57.0,claims that the firm was biased against Chinese customers,medium,,,arguing-pos,
00.42.54-29681,20010718,5,GATE_attitude,814,871,57.0,claims that the firm was biased against Chinese customers,medium,,,sentiment-neg,
00.42.54-29681,20010718,3,GATE_attitude,835,853,18.0,was biased against,medium,,,sentiment-neg,
00.42.54-29681,20010718,1,GATE_attitude,938,965,27.0,five complaints of problems,medium,,,sentiment-neg,
23.47.18-27024,20010718,34,GATE_expressive-subjectivity,1089,1100,11.0,is possible,low,neutral,,,
23.47.18-27024,20010718,13,GATE_direct-subjective,1055,1067,12.0,According to,neutral,,neutral,,
23.47.18-27024,20010718,6,GATE_attitude,1086,1227,141.0,it is possible that clashes will resume between the Taleban and UIFSA forces in various regions of Afghanistan in the next few days and weeks,low,,,speculation,
22.41.16-14236,20010813,13,GATE_direct-subjective,236,245,9.0,intend to,low,neutral,low,,
22.41.16-14236,20010813,4,GATE_attitude,236,245,9.0,intend to,low,,,intention-pos,
23.12.58-1993,20010813,6,GATE_direct-subjective,724,734,10.0,suspicions,low,negative,low,,
23.12.58-1993,20010813,2,GATE_attitude,724,737,13.0,suspicions of,low-medium,,,sentiment-neg,
23.25.24-13030,20010817,51,GATE_expressive-subjectivity,867,875,8.0,although,low,neutral,,,
23.25.24-13030,20010817,44,GATE_attitude,66,79,13.0,will push for,medium,,,sentiment-pos,
23.25.24-13030,20010817,37,GATE_expressive-subjectivity,512,523,11.0,needs to be,low,neutral,,,
23.25.24-13030,20010817,33,GATE_expressive-subjectivity,894,903,9.0,squeezing,low,negative,,,
23.25.24-13030,20010817,32,GATE_expressive-subjectivity,1008,1031,23.0,can still break through,medium,positive,,,
23.25.24-13030,20010817,28,GATE_attitude,1100,1110,10.0,support of,medium,,,sentiment-pos,
23.25.24-13030,20010817,27,GATE_attitude,867,1139,272.0,"although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities",low-medium,,,arguing-pos,
23.25.24-13030,20010817,24,GATE_direct-subjective,386,390,4.0,said,neutral,,neutral,,
23.25.24-13030,20010817,22,GATE_direct-subjective,1100,1110,10.0,support of,medium,positive,medium,,
